CAZyme_family	Leptographium_lundbergii_CBS138716	Ophiostoma_fasciatum_VPRI43845	Ophiostoma_ips_VPRI43529	Ophiostoma_novoulmi_H327	Sporothrix_bragantina_CBS47491	Sporothrix_brasiliensis_5110	Sporothrix_brunneoviolacea_CBS124561	Sporothrix_curviconia_CBS95973	Sporothrix_dimorphospora_CBS55374	Sporothrix_epigloea_CBS119000	Sporothrix_epigloea_CBS57363	Sporothrix_epigloea_TF4163	Sporothrix_eucalyptigena_CBS139899	Sporothrix_eucalyptigena_CBS140593	Sporothrix_euskadiensis_VPRI43754	Sporothrix_globosa_CBS120340	Sporothrix_humicola_CBS118129	Sporothrix_inflata_CBS23968	Sporothrix_insectorum_RCEF264	Sporothrix_luriei_CBS93772	Sporothrix_mexicana_CBS120341	Sporothrix_nigrograna_VPRI43755	Sporothrix_pallida_CBS13156	Sporothrix_phasma_CBS119721	Sporothrix_protearum_CBS116654	Sporothrix_pseudoabietina_VPRI43531	Sporothrix_schenckii_1099	Sporothrix_thermara_CBS139747MAG	Sporothrix_variecibatus_CBS121961	General_Activity	origin
CBM38	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	Binds inulin	b-plant
CBM20	1	2	2	3	3	3	3	3	6	2	2	2	5	5	2	3	2	4	1	2	6	3	2	1	2	3	3	2	2	Binds starch	b-plant
GH12	1	1	0	0	1	1	0	1	0	1	0	0	1	1	0	2	1	0	0	1	1	2	1	0	0	1	1	2	1	Cellulases	b-plant
GH45	0	0	0	1	3	4	2	2	2	0	0	0	3	3	0	3	4	4	2	3	4	0	3	1	2	0	4	0	3	Cellulases	b-plant
GH6	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	1	Cellulases	b-plant
GH7	1	0	0	2	3	3	4	4	5	0	0	0	4	4	1	3	4	4	4	3	5	0	4	2	2	1	4	0	3	Cellulases	b-plant
GH18	5	2	2	7	12	11	12	10	7	2	2	1	14	14	6	8	10	12	8	6	12	5	11	3	6	6	10	6	9	Chitinases	a-fungal
GH20	1	1	1	0	2	1	2	2	1	1	1	1	2	2	1	1	2	2	2	1	1	1	2	0	1	1	1	0	2	Chitinases	a-fungal
GH33	0	0	0	0	1	1	1	0	1	0	0	0	2	2	0	1	1	1	0	2	2	0	2	0	0	0	1	0	1	GDE	nd
GH59	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	GDE	nd
GT69	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	GXM biosynthesis / Alpha-mannosyltransferase	a-fungal
GT90	0	0	0	1	1	0	1	0	2	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	GXM biosynthesis / O-linked glycosylation	a-fungal
AA7	6	0	3	4	7	7	6	10	11	0	0	0	9	9	1	7	9	9	7	8	11	1	9	1	2	3	7	2	9	Glucooligosaccharide oxidases (GOO)	nd
AA8	0	0	0	2	8	8	8	8	8	0	0	0	9	8	2	7	8	8	6	7	8	0	8	1	5	1	8	0	8	Iron reductase	nd
AA3	3	0	1	2	5	4	5	5	6	0	0	0	6	6	0	5	6	6	5	5	6	0	6	0	4	0	5	0	6	Lignocellulases	b-plant
GT25	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	Lipopolysaccharide biosynthesis	nd
AA11	2	2	2	3	3	3	3	3	3	1	2	2	3	3	2	3	3	3	3	3	3	2	3	2	3	2	3	2	3	Lytic polysacchairde monooxygenases (LPMOs)	nd
AA13	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Lytic polysacchairde monooxygenases (LPMOs)	nd
AA14	0	0	0	0	0	0	0	0	0	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Lytic polysacchairde monooxygenases (LPMOs)	nd
AA16	1	0	0	1	2	2	2	1	2	0	0	0	2	2	0	2	2	2	2	2	2	0	2	0	1	0	1	0	2	Lytic polysacchairde monooxygenases (LPMOs)	nd
AA9	2	1	2	8	15	13	14	15	15	0	0	0	14	14	4	14	15	15	15	13	13	1	16	4	7	4	13	1	15	Lytic polysacchairde monooxygenases (LPMOs)	nd
CE1	0	0	0	2	8	2	5	5	7	0	0	0	8	8	0	3	8	6	4	3	6	0	8	1	1	0	3	0	7	Other hemicellulases	b-plant
CE12	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	Other hemicellulases	b-plant
CE15	0	0	0	1	3	2	3	2	3	0	0	0	3	3	0	2	3	3	3	1	3	0	3	0	2	0	2	0	3	Other hemicellulases	b-plant
CE2	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	Other hemicellulases	b-plant
CE3	2	0	1	0	3	1	3	2	1	0	0	0	3	2	0	2	2	1	3	1	2	0	2	0	0	0	1	0	1	Other hemicellulases	b-plant
CE4	1	0	0	1	2	2	1	2	2	0	0	0	1	1	0	2	1	2	2	1	1	0	1	1	1	0	2	0	2	Other hemicellulases	b-plant
CE5	1	0	1	1	3	3	4	2	4	0	0	0	4	4	1	4	5	3	2	2	4	0	5	1	1	1	3	1	4	Other hemicellulases	b-plant
GH2	1	0	1	1	2	2	2	2	2	0	0	0	2	2	0	2	2	2	3	2	2	0	2	0	2	0	2	0	2	Other hemicellulases	b-plant
GH27	0	0	0	0	2	0	1	1	0	0	0	0	3	3	0	0	1	2	0	0	0	0	1	0	0	0	0	0	2	Other hemicellulases	b-plant
GH35	0	0	1	2	2	1	0	2	1	0	0	0	2	2	0	2	1	2	1	0	2	0	1	0	0	0	1	1	1	Other hemicellulases	b-plant
GH51	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Other hemicellulases	b-plant
GH54	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	Other hemicellulases	b-plant
GH62	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	Other hemicellulases	b-plant
AA1	4	4	6	7	9	7	7	9	7	1	2	2	8	9	5	5	10	8	6	7	9	5	8	6	8	5	6	6	7	Oxidoreductase	nd
AA12	0	1	0	0	3	1	2	3	3	0	0	0	4	4	0	1	2	4	3	1	2	0	2	0	2	1	1	1	2	Oxidoreductase	nd
CE8	2	1	0	1	4	2	5	3	1	0	0	0	4	4	1	1	3	3	0	2	6	2	2	2	2	1	2	1	2	Pectinases	b-plant
GH106	1	0	0	0	2	0	1	2	2	0	0	0	2	2	0	1	1	2	1	0	0	0	1	1	0	0	1	0	1	Pectinases	b-plant
GH28	6	3	4	5	7	3	8	5	3	0	0	0	5	6	3	4	6	3	3	3	9	1	6	3	2	3	3	4	6	Pectinases	b-plant
GH78	0	1	0	1	0	1	2	1	0	0	0	1	2	2	0	1	1	1	2	1	1	1	1	0	0	0	1	0	0	Pectinases	b-plant
PL42	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pectinases	b-plant
AA2	3	2	3	3	2	2	3	2	1	1	1	1	1	1	1	2	2	2	2	3	2	1	2	1	1	1	3	2	2	Peroxidase	nd
GH10	0	0	0	1	2	2	2	2	2	0	0	0	2	2	0	2	2	2	2	2	2	0	2	0	2	1	2	0	2	Xylanases/xyloglucanases	b-plant
GH11	1	0	0	1	3	3	3	2	3	0	0	0	3	3	0	3	3	3	2	3	3	0	3	2	2	0	3	0	3	Xylanases/xyloglucanases	b-plant
GH115	0	0	1	1	2	1	2	1	2	0	0	0	2	2	1	1	2	2	2	1	2	0	2	1	2	1	1	0	2	Xylanases/xyloglucanases	b-plant
GH141	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Xylanases/xyloglucanases	b-plant
GH67	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Xylanases/xyloglucanases	b-plant
CBM36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	NA
CBM4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
CBM50	0	0	0	3	3	1	6	5	2	0	0	0	5	5	2	2	4	3	0	2	1	1	3	0	1	2	2	2	3	NA	NA
CBM63	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
GH30	1	0	0	0	5	3	4	4	5	0	0	0	5	4	1	3	4	4	4	2	4	0	4	0	2	0	3	1	5	NA	NA
GH43	3	0	2	4	5	3	5	4	5	0	0	0	5	5	0	3	6	5	3	4	5	0	6	1	1	1	3	1	4	NA	NA
GH5	3	0	4	7	10	10	7	9	10	3	3	3	10	11	5	11	11	9	8	9	13	4	11	7	7	4	10	3	10	NA	NA
PL1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
PL22	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	NA	NA
PL3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
PL4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
