#cluster_id	cluster_protein_count	TAXON_count	protein_span_mean	protein_span_sd	fraction_secreted	GO	GO_entropy	IPR	IPR_entropy	SignalP_EUK	SignalP_EUK_entropy	Pfam	Pfam_entropy
OG0000028	59	13	184.8135593220339	93.9537344809904	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000029	59	20	483.93220338983053	189.11595083769842	0.00	N/A	N/A	IPR035398:1;IPR035396:1	1.000	N/A	N/A	PF17390:1;PF17389:1	1.000
OG0000030	58	18	593.5689655172414	58.10635672655182	0.00	GO:0008484:58	0.000	IPR000917:59	0.000	N/A	N/A	PF00884:59	0.000
OG0000031	57	18	487.0877192982456	238.28416477499653	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000032	57	20	244.3684210526316	74.2214873079803	0.00	N/A	N/A	IPR002575:47	0.000	N/A	N/A	PF01636:47	0.000
OG0000033	56	17	459.5	167.18712783670193	0.00	GO:0005515:20;GO:0019239:1	0.276	IPR002110:21;IPR001365:1;IPR029226:1	0.513	N/A	N/A	PF13637:9;PF12796:6;PF00023:5;PF00962:1;PF14856:1;PF13606:1	2.104
OG0000034	55	19	577.9818181818182	78.97974214582806	0.00	GO:0022857:54;GO:0055085:54	1.000	IPR010573:55	0.000	N/A	N/A	PF06609:55	0.000
OG0000035	55	23	553.9090909090909	144.36195327619743	0.00	GO:0022857:50;GO:0055085:50	1.000	IPR011701:48;IPR010573:2	0.242	N/A	N/A	PF07690:48;PF06609:2	0.242
OG0000036	54	22	510.44444444444446	119.50665046838539	0.00	GO:0016020:53;GO:0055085:53	1.000	IPR004841:53	0.000	N/A	N/A	PF00324:53	0.000
OG0000037	54	20	625.4629629629629	212.63259157200773	0.00	GO:0016491:48;GO:0050660:48	1.000	IPR012951:48;IPR006094:45	0.999	N/A	N/A	PF08031:48;PF01565:45	0.999
OG0000038	54	23	516.5370370370371	61.822240083958675	0.00	GO:0005515:35	0.000	IPR001810:35	0.000	N/A	N/A	PF00646:33;PF12937:2	0.316
OG0000039	53	23	1521.1698113207547	694.0195401481944	0.00	GO:0005524:51;GO:0006520:23;GO:0016597:23;GO:0016743:23	1.895	IPR005479:92;IPR005480:44;IPR002474:23;IPR017926:23;IPR006132:23;IPR006131:23;IPR011607:23	2.551	N/A	N/A	PF02786:92;PF02787:44;PF00988:23;PF00117:23;PF02729:23;PF00185:23;PF02142:23;PF12874:1	2.578
OG0000040	53	20	296.41509433962267	35.00912763043276	0.00	N/A	N/A	IPR002347:53	0.000	N/A	N/A	PF00106:53	0.000
OG0000041	53	19	267.07547169811323	55.853531182300536	0.00	GO:0016787:51	0.000	IPR000675:51	0.000	N/A	N/A	PF01083:51	0.000
OG0000042	53	20	510.0188679245283	32.30076263252825	0.00	GO:0022857:53;GO:0055085:53	1.000	IPR011701:53	0.000	N/A	N/A	PF07690:53	0.000
OG0000043	52	23	555.6153846153846	103.34839395241892	0.00	GO:0022857:51;GO:0055085:51;GO:0004497:2;GO:0005506:2;GO:0016705:2;GO:0020037:2	1.449	IPR011701:52;IPR001128:2	0.229	N/A	N/A	PF07690:52;PF00067:2	0.229
OG0000044	52	16	378.5769230769231	127.75071069407105	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000045	51	23	471.0	33.374876073795036	0.00	GO:0006508:1;GO:0008236:1	1.000	IPR046452:52;IPR046451:50;IPR013149:1;IPR001375:1	1.137	N/A	N/A	PF20510:52;PF04209:50;PF00107:1;PF00326:1	1.137
OG0000046	51	23	421.88235294117646	88.1384043197532	0.00	GO:0016787:48	0.000	IPR002933:48;IPR011650:37	0.988	N/A	N/A	PF01546:48;PF07687:37	0.988
OG0000047	50	19	399.68	97.88205964322574	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000048	49	16	486.6734693877551	121.06978722108694	0.00	N/A	N/A	IPR023631:48	0.000	N/A	N/A	PF01425:48	0.000
OG0000049	49	18	1295.530612244898	459.85925540014534	0.00	GO:0005975:42	0.000	IPR018392:43;IPR001223:42;IPR029226:34;IPR000408:4	1.733	N/A	N/A	PF01476:43;PF00704:42;PF14856:34;PF00415:4;PF13540:2	1.824
OG0000050	49	20	572.4285714285714	75.4848275064166	0.00	GO:0004499:41;GO:0050660:41;GO:0050661:41;GO:0016491:1	1.640	IPR020946:41;IPR002575:1;IPR023753:1	0.318	N/A	N/A	PF00743:41;PF13450:8;PF01636:1;PF07992:1	0.895
OG0000051	49	18	485.9591836734694	61.3058439081691	0.00	GO:0016020:49;GO:0022857:49;GO:0055085:49	1.585	IPR005828:51	0.000	N/A	N/A	PF00083:51	0.000
OG0000052	49	23	365.9795918367347	69.88693194708335	0.00	N/A	N/A	IPR023210:48	0.000	N/A	N/A	PF00248:48	0.000
OG0000053	49	14	338.8979591836735	103.17732801465269	0.00	N/A	N/A	IPR003615:45	0.000	N/A	N/A	PF13391:45;PF13561:2	0.254
OG0000054	48	20	561.8958333333334	110.22765071722655	0.00	GO:0022857:48;GO:0055085:48;GO:0016020:1	1.073	IPR010573:52;IPR005828:1	0.135	N/A	N/A	PF06609:52;PF00083:1	0.135
OG0000055	48	19	515.5625	165.67260715162502	0.00	N/A	N/A	IPR002018:46;IPR026992:1;IPR044861:1	0.292	N/A	N/A	PF00135:46;PF14226:1;PF03171:1	0.292
OG0000056	48	17	446.5416666666667	135.90958365970945	0.00	GO:0022857:41;GO:0055085:41	1.000	IPR011701:41	0.000	N/A	N/A	PF07690:41	0.000
OG0000057	48	17	514.4791666666666	175.7812311728385	0.00	GO:0016491:48	0.000	IPR015590:50;IPR013149:3;IPR013154:3;IPR025213:1;IPR011118:1	0.829	N/A	N/A	PF00171:50;PF00107:3;PF08240:3;PF13095:1;PF07519:1	0.829
OG0000058	47	17	275.0	101.67490956004117	0.00	GO:0005515:40	0.000	IPR002110:40	0.000	N/A	N/A	PF12796:31;PF13857:4;PF13606:2;PF13637:2;PF00023:1	1.182
OG0000059	47	23	902.936170212766	257.43641266156607	0.00	GO:0016787:39	0.000	IPR010318:45;IPR008040:41;IPR002821:39	1.582	N/A	N/A	PF06032:45;PF05378:41;PF01968:39	1.582
OG0000060	47	19	466.1489361702128	132.07718225846716	0.00	GO:0016020:47;GO:0022857:47;GO:0055085:47;GO:0015977:1;GO:0016984:1	1.683	IPR005828:49;IPR017443:1	0.141	N/A	N/A	PF00083:49;PF02788:1	0.141
OG0000061	47	18	580.1063829787234	173.6652728110435	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000062	46	20	424.80434782608694	33.44796059631932	0.00	GO:0003824:46;GO:0004334:46;GO:0009072:46	1.585	IPR015377:46;IPR011234:46	1.000	N/A	N/A	PF09298:46;PF01557:46	1.000
OG0000063	46	23	406.95652173913044	142.64701897580727	0.00	N/A	N/A	IPR010829:7	0.000	N/A	N/A	PF07249:7	0.000
OG0000064	46	15	572.3695652173913	212.5440474753463	0.00	GO:0005515:2	0.000	IPR001810:2;IPR013101:1	0.918	N/A	N/A	PF00646:2;PF07723:1	0.918
OG0000065	46	23	565.9347826086956	117.61033712589122	0.00	GO:0004499:34;GO:0050660:34;GO:0050661:34;GO:0016787:1	1.648	IPR020946:34;IPR025700:4;IPR013094:1	0.645	N/A	N/A	PF00743:34;PF13450:9;PF13434:4;PF07859:1	1.220
OG0000066	46	23	102.80434782608695	1.3124746824455287	0.00	N/A	N/A	IPR035425:45;IPR004823:1	0.151	N/A	N/A	PF15511:45;PF02969:1	0.151
OG0000067	46	20	606.0434782608696	78.98842967602477	0.00	GO:0005507:46;GO:0016491:46	1.000	IPR011706:46;IPR011707:45;IPR001117:44	1.585	N/A	N/A	PF07731:46;PF07732:45;PF00394:44	1.585
OG0000068	46	17	229.7173913043478	14.241188035868632	0.00	N/A	N/A	IPR033123:46	0.000	N/A	N/A	PF00457:46	0.000
OG0000069	45	23	115.5111111111111	20.62643635103287	0.00	N/A	N/A	IPR013097:45	0.000	N/A	N/A	PF07876:45	0.000
OG0000070	45	14	244.06666666666666	79.93286071586718	0.00	GO:0005515:29;GO:0004356:1;GO:0006542:1;GO:0006807:1	0.597	IPR000210:29;IPR008147:1	0.211	N/A	N/A	PF00651:29;PF03951:1	0.211
OG0000071	45	18	397.0	142.5080114707006	0.00	N/A	N/A	IPR025213:47;IPR002125:1	0.146	N/A	N/A	PF13095:47;PF00383:1	0.146
OG0000072	45	20	430.35555555555555	57.369041421137986	0.00	GO:0016491:44	0.000	IPR006076:44	0.000	N/A	N/A	PF01266:44	0.000
OG0000073	44	14	556.1136363636364	131.92425786810244	0.00	N/A	N/A	IPR011118:41	0.000	N/A	N/A	PF07519:41	0.000
OG0000074	44	23	263.95454545454544	30.851517235015834	0.00	GO:0003677:44;GO:0006352:44	1.000	IPR000814:87	0.000	N/A	N/A	PF00352:87	0.000
OG0000075	44	17	311.52272727272725	80.96926707550095	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000076	43	18	547.7441860465116	135.25154738800262	0.00	GO:0022857:25;GO:0055085:25;GO:0016020:1	1.120	IPR011701:24;IPR005828:1	0.242	N/A	N/A	PF07690:24;PF00083:1	0.242
OG0000077	43	20	347.30232558139534	59.72399108290353	0.00	GO:0016787:42	0.000	IPR013094:42	0.000	N/A	N/A	PF07859:42	0.000
OG0000078	43	19	316.30232558139534	43.132319336384604	0.00	GO:0016020:43	0.000	IPR007568:43	0.000	N/A	N/A	PF04479:43	0.000
OG0000079	43	23	532.9069767441861	181.41303431973265	0.00	GO:0022857:37;GO:0055085:37	1.000	IPR011701:37	0.000	N/A	N/A	PF07690:37	0.000
OG0000080	43	23	892.7441860465116	142.09480834717783	0.00	GO:0035673:43	0.000	IPR004813:44	0.000	N/A	N/A	PF03169:44	0.000
OG0000081	42	23	592.452380952381	138.3718596462088	0.00	GO:0016747:38	0.000	IPR002656:39	0.000	N/A	N/A	PF01757:39	0.000
OG0000082	42	17	511.2857142857143	92.5334651727187	0.00	GO:0016020:42;GO:0022857:42;GO:0055085:42	1.585	IPR005828:43	0.000	N/A	N/A	PF00083:43	0.000
OG0000083	42	17	246.14285714285714	29.683706793114506	0.00	N/A	N/A	IPR005103:41	0.000	N/A	N/A	PF03443:41	0.000
OG0000084	41	19	545.7560975609756	54.10143160623516	0.00	GO:0016020:40;GO:0022857:40;GO:0055085:40	1.585	IPR005828:40	0.000	N/A	N/A	PF00083:40	0.000
OG0000085	41	19	309.4390243902439	82.91166288858658	0.00	N/A	N/A	IPR045518:32	0.000	N/A	N/A	PF20150:32	0.000
OG0000086	41	20	345.5609756097561	72.6656388017254	0.00	N/A	N/A	IPR002347:39;IPR028143:1	0.169	N/A	N/A	PF00106:39;PF08690:1	0.169
OG0000087	41	19	533.3414634146342	236.0349922131842	0.00	N/A	N/A	IPR046676:39;IPR002018:5	0.511	N/A	N/A	PF20183:39;PF00135:5	0.511
OG0000088	41	23	773.4878048780488	68.05489962871242	0.00	N/A	N/A	IPR031329:45;IPR031331:41	0.998	N/A	N/A	PF04734:45;PF17048:41	0.998
OG0000089	41	23	450.7073170731707	144.0262922986276	0.00	GO:0004664:23;GO:0009094:23	1.000	IPR001086:24	0.000	N/A	N/A	PF00800:24	0.000
OG0000090	41	23	416.4390243902439	146.96142662658582	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000091	41	17	230.78048780487805	63.81242030457629	0.00	N/A	N/A	IPR002575:32	0.000	N/A	N/A	PF01636:32;PF01633:6	0.629
OG0000092	41	18	301.0731707317073	153.89026661306147	0.00	N/A	N/A	IPR003615:22	0.000	N/A	N/A	PF13391:22	0.000
OG0000093	40	18	430.675	72.17630757388464	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000094	40	16	844.325	641.1260167665948	0.00	GO:0005515:2	0.000	IPR018392:36;IPR024535:31;IPR002889:9;IPR037401:3;IPR002110:2	1.710	N/A	N/A	PF01476:36;PF12708:31;PF01822:9;PF12680:3;PF12796:2	1.710
OG0000095	40	23	372.95	113.24728473566154	0.00	GO:0046872:3	0.000	IPR000571:3	0.000	N/A	N/A	PF13489:37;PF00642:3	0.384
OG0000096	40	17	600.025	104.44076969747015	0.00	GO:0008239:39;GO:0016787:39	1.000	IPR013736:39;IPR000383:39	1.000	N/A	N/A	PF08530:39;PF02129:39	1.000
OG0000097	40	17	522.95	108.210200535809	0.00	GO:0022857:38;GO:0055085:38	1.000	IPR011701:38	0.000	N/A	N/A	PF07690:38	0.000
OG0000098	40	23	529.6	132.81355352523326	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000099	40	16	328.075	177.412004596645	0.00	GO:0004672:24;GO:0005524:24;GO:0006468:24	1.585	IPR000719:38	0.000	N/A	N/A	PF00069:38	0.000
OG0000100	39	23	317.3333333333333	165.64517737116523	0.00	N/A	N/A	IPR004895:23	0.000	N/A	N/A	PF03208:23	0.000
OG0000101	39	15	761.3076923076923	468.2269422278132	0.00	GO:0005975:31;GO:0008061:21	0.973	IPR001223:32;IPR001002:21	0.969	N/A	N/A	PF00704:32;PF00187:21	0.969
OG0000102	39	16	620.8461538461538	354.759328925352	0.00	GO:0005515:14	0.000	IPR002110:47;IPR031359:35;IPR007111:10	1.373	N/A	N/A	PF12796:36;PF17100:35;PF05729:10;PF00023:5;PF13637:4;PF13857:2	1.953
OG0000103	39	15	882.1025641025641	462.225985071671	0.00	N/A	N/A	N/A	N/A	N/A	N/A	PF02389:1	0.000
OG0000104	39	19	487.94871794871796	222.88101329655683	0.00	GO:0030599:33;GO:0042545:33;GO:0004650:20;GO:0005975:20;GO:0016020:1;GO:0022857:1;GO:0055085:1	2.128	IPR000070:33;IPR000743:20;IPR001248:1	1.071	N/A	N/A	PF01095:33;PF00295:20;PF02133:1	1.071
OG0000105	39	22	304.2564102564103	44.457826716389434	0.00	N/A	N/A	IPR000801:36;IPR022742:1	0.179	N/A	N/A	PF00756:36;PF12146:1	0.179
OG0000106	39	14	537.6410256410256	197.36735073818463	0.00	GO:0005515:25	0.000	IPR002110:34	0.000	N/A	N/A	PF13606:16;PF13857:10;PF13637:4;PF12796:3;PF00023:1	1.853
OG0000107	39	20	494.84615384615387	89.43283927963685	0.00	GO:0022857:37;GO:0055085:37	1.000	IPR011701:38	0.000	N/A	N/A	PF07690:38	0.000
OG0000108	39	18	451.28205128205127	208.26215588838846	0.00	N/A	N/A	IPR022085:41;IPR003615:1	0.162	N/A	N/A	PF12311:41;PF13391:1	0.162
OG0000109	38	18	775.3684210526316	374.5966547362805	0.00	N/A	N/A	IPR044862:16	0.000	N/A	N/A	PF13640:16	0.000
OG0000110	38	12	587.4736842105264	170.30386725560894	0.00	GO:0008484:36;GO:0003677:1;GO:0006351:1;GO:0008270:1	0.513	IPR000917:36;IPR007219:1	0.179	N/A	N/A	PF00884:36;PF04082:1	0.179
OG0000111	38	22	278.92105263157896	30.24407865399124	0.00	N/A	N/A	IPR002347:2	0.000	N/A	N/A	PF13561:36;PF00106:2	0.297
OG0000112	38	20	341.92105263157896	63.18659983645241	0.00	N/A	N/A	IPR013154:31;IPR013149:1	0.201	N/A	N/A	PF08240:31;PF00107:1	0.201
OG0000113	38	22	445.0263157894737	98.57497462981513	0.00	GO:0071949:36	0.000	IPR002938:37	0.000	N/A	N/A	PF01494:37	0.000
OG0000114	38	20	630.2368421052631	74.42531905436142	0.00	GO:0022857:37;GO:0055085:37	1.000	IPR011701:37	0.000	N/A	N/A	PF07690:37	0.000
OG0000115	38	23	550.1052631578947	260.25198209202074	0.00	GO:0004672:4;GO:0005524:4;GO:0006468:4	1.585	IPR018834:22;IPR000719:4	0.619	N/A	N/A	PF10373:22;PF00069:4	0.619
OG0000116	38	16	411.9736842105263	163.6609921762385	0.00	GO:0004672:32;GO:0005524:32;GO:0006468:32;GO:0005515:1	1.651	IPR000719:32;IPR000253:1	0.196	N/A	N/A	PF00069:32;PF00498:1	0.196
OG0000117	38	23	531.6578947368421	113.97582299394384	0.00	GO:0016491:38	0.000	IPR015590:38	0.000	N/A	N/A	PF00171:38	0.000
OG0000118	38	18	209.57894736842104	54.26331104169516	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000119	38	15	356.89473684210526	120.29826736156221	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000120	38	14	254.39473684210526	130.53000047855184	0.00	GO:0004672:14;GO:0005524:14;GO:0006468:14	1.585	IPR000719:14	0.000	N/A	N/A	PF00069:14	0.000
OG0000121	37	23	894.5135135135135	493.93038253417654	0.00	GO:0000742:4;GO:0048288:4	1.000	IPR007292:4	0.000	N/A	N/A	PF04163:4	0.000
OG0000122	37	21	566.5945945945946	111.06011507274236	0.00	N/A	N/A	IPR023631:62;IPR002347:1	0.118	N/A	N/A	PF01425:62;PF00106:1	0.118
OG0000123	37	23	605.4864864864865	97.44648472342408	0.00	GO:0005975:37	0.000	IPR006047:37;IPR013189:1;IPR013148:1	0.343	N/A	N/A	PF00128:37;PF08244:1;PF00251:1	0.343
OG0000124	37	23	239.1891891891892	12.614530098773244	0.00	N/A	N/A	N/A	N/A	N/A	N/A	PF13578:37	0.000
OG0000125	37	23	587.2432432432432	33.111935796387314	0.00	GO:0042802:5;GO:0005515:1	0.650	IPR011717:9;IPR013105:1;IPR019734:1	0.866	N/A	N/A	PF07721:9;PF07719:1;PF13181:1	0.866
OG0000126	37	18	442.7567567567568	86.6638131425123	0.00	N/A	N/A	IPR013057:36	0.000	N/A	N/A	PF01490:36	0.000
OG0000127	37	22	295.3783783783784	38.90275565265709	0.00	GO:0016787:35	0.000	IPR004843:35	0.000	N/A	N/A	PF00149:35	0.000
OG0000128	37	23	346.5405405405405	51.44274938776776	0.00	GO:0005384:36;GO:0030026:36	1.000	IPR008217:36	0.000	N/A	N/A	PF01988:36	0.000
OG0000129	37	19	479.4054054054054	126.69466582757133	0.00	N/A	N/A	IPR045063:1	0.000	N/A	N/A	PF00350:1	0.000
OG0000130	37	20	369.1081081081081	83.87435383689034	0.00	GO:0004553:37;GO:0071704:37	1.000	IPR001547:37	0.000	N/A	N/A	PF00150:37;PF13561:5	0.527
OG0000131	36	16	462.77777777777777	61.940433352944986	0.00	GO:0022857:35;GO:0055085:35	1.000	IPR011701:35	0.000	N/A	N/A	PF07690:35	0.000
OG0000132	36	22	167.52777777777777	30.128876985295378	0.00	GO:0003755:35	0.000	IPR001179:35;IPR004018:1	0.183	N/A	N/A	PF00254:35;PF02755:1	0.183
OG0000133	36	22	408.44444444444446	44.514320070714604	0.00	GO:0004553:34;GO:0071704:34	1.000	IPR001547:34	0.000	N/A	N/A	PF00150:34	0.000
OG0000134	36	19	366.3888888888889	34.46437595367922	0.00	GO:0016491:36	0.000	IPR006076:37	0.000	N/A	N/A	PF01266:37	0.000
OG0000135	36	23	746.7222222222222	73.34038265781724	0.00	GO:0008236:36;GO:0006508:3	0.391	IPR015366:35;IPR000209:3	0.398	N/A	N/A	PF09286:35;PF00082:3	0.398
OG0000136	36	19	317.77777777777777	55.92907766444091	0.00	N/A	N/A	IPR023210:37	0.000	N/A	N/A	PF00248:37	0.000
OG0000137	36	23	548.2222222222222	194.2324081997176	0.00	GO:0003677:8;GO:0003700:8;GO:0005507:8;GO:0006355:8	2.000	IPR001083:8	0.000	N/A	N/A	PF00649:8	0.000
OG0000138	36	22	649.9722222222222	321.3290530585527	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000139	36	23	483.3333333333333	146.3378890710734	0.00	GO:0016491:35;GO:0016020:1;GO:0022857:1;GO:0055085:1	0.524	IPR015590:35;IPR002293:1;IPR010318:1	0.357	N/A	N/A	PF00171:35;PF13520:1;PF06032:1	0.357
OG0000140	36	20	587.1944444444445	10.723337593109829	0.00	N/A	N/A	IPR025110:36;IPR000873:36	1.000	N/A	N/A	PF13193:36;PF00501:36	1.000
OG0000141	36	13	249.86111111111111	99.80707856709748	0.00	GO:0005515:30	0.000	IPR002110:31	0.000	N/A	N/A	PF12796:13;PF13857:9;PF13637:9	1.562
OG0000142	36	22	157.55555555555554	69.3575456298914	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000143	36	19	325.97222222222223	118.4172205267627	0.00	N/A	N/A	IPR046676:1	0.000	N/A	N/A	PF20183:1	0.000
OG0000144	36	23	340.6666666666667	145.16083034574677	0.00	GO:0008289:36	0.000	IPR000648:42	0.000	N/A	N/A	PF01237:42	0.000
OG0000145	35	20	489.9428571428571	60.265101418479254	0.00	GO:0022857:35;GO:0055085:35	1.000	IPR011701:35	0.000	N/A	N/A	PF07690:35	0.000
OG0000146	35	19	242.31428571428572	35.72415863535601	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OG0000147	35	21	494.57142857142856	69.75437957137713	0.00	GO:0022857:33;GO:0055085:33	1.000	IPR011701:33	0.000	N/A	N/A	PF07690:33	0.000
OG0000148	35	18	403.7142857142857	60.9372377022089	0.00	GO:0071949:35	0.000	IPR002938:35;IPR009732:1	0.183	N/A	N/A	PF01494:35;PF06993:1	0.183
OG0000149	35	14	485.2	95.24038759145947	0.00	GO:0016020:35;GO:0022857:35;GO:0055085:35	1.585	IPR005828:36	0.000	N/A	N/A	PF00083:36	0.000
OG0000150	35	20	386.42857142857144	27.322712388137784	0.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
