#cluster_id	protein_count	taxon_count	domain_ids	domain_description
OG0000056	48	17	IPR011701	Family Major facilitator superfamily
OG0000057	48	17	IPR015590	Domain Aldehyde dehydrogenase domain
OG0000058	47	17	IPR002110	Repeat Ankyrin repeat
OG0000059	47	23	IPR010318;IPR008040;IPR002821	Domain DUF917, N-terminal domain;Domain Hydantoinase/oxoprolinase, N-terminal;Domain Hydantoinase A/oxoprolinase
OG0000060	47	19	IPR005828	Family Major facilitator, sugar transporter-like
OG0000061	47	18	None	None
OG0000062	46	20	IPR015377;IPR011234	Domain Fumarylacetoacetase, N-terminal;Domain Fumarylacetoacetase-like, C-terminal
OG0000063	46	23	None	None
OG0000064	46	15	None	None
OG0000065	46	23	IPR020946	Family Flavin monooxygenase-like
OG0000066	46	23	IPR035425	Domain CENP-T/Histone H4, histone fold
OG0000067	46	20	IPR011706;IPR011707;IPR001117	Domain Multicopper oxidase, C-terminal;Domain Multicopper oxidase-like, N-terminal;Domain Multicopper oxidase, second cupredoxin domain
OG0000068	46	17	IPR033123	Domain Glycosyl hydrolases family 11 (GH11) domain
OG0000069	45	23	IPR013097	Domain Stress responsive alpha-beta barrel
OG0000070	45	14	IPR000210	Domain BTB/POZ domain
OG0000071	45	18	IPR025213	Family Kinetochore Sim4 complex subunit Fta2
OG0000072	45	20	IPR006076	Domain FAD dependent oxidoreductase
OG0000073	44	14	IPR011118	Family Tannase/feruloyl esterase
OG0000074	44	23	IPR000814	Family TATA-box binding protein
OG0000075	44	17	None	None
OG0000076	43	18	IPR011701	Family Major facilitator superfamily
OG0000077	43	20	IPR013094	Domain Alpha/beta hydrolase fold-3
OG0000078	43	19	IPR007568	Family RTA-like protein
OG0000079	43	23	IPR011701	Family Major facilitator superfamily
OG0000080	43	23	IPR004813	Family Oligopeptide transporter, OPT superfamily
OG0000081	42	23	IPR002656	Domain Acyltransferase 3 domain
OG0000082	42	17	IPR005828	Family Major facilitator, sugar transporter-like
OG0000083	42	17	IPR005103	Domain Auxiliary Activity family 9, catalytic domain
OG0000084	41	19	IPR005828	Family Major facilitator, sugar transporter-like
OG0000085	41	19	IPR045518	Domain 2EXR domain
OG0000086	41	20	IPR002347	Family Short-chain dehydrogenase/reductase SDR
OG0000087	41	19	IPR046676	Family Protein of unknown function DUF6546
OG0000088	41	23	IPR031329;IPR031331	Domain Neutral/alkaline non-lysosomal ceramidase, N-terminal;Domain Neutral/alkaline non-lysosomal ceramidase, C-terminal
OG0000089	41	23	IPR001086	Domain Prephenate dehydratase
OG0000090	41	23	None	None
OG0000091	41	17	IPR002575	Domain Aminoglycoside phosphotransferase
OG0000092	41	18	IPR003615	Domain HNH nuclease
OG0000093	40	18	None	None
OG0000094	40	16	IPR018392;IPR024535	Domain LysM domain;Domain Rhamnogalacturonase A/B/Epimerase-like, pectate lyase domain
OG0000095	40	23	None	None
OG0000096	40	17	IPR013736;IPR000383	Domain Xaa-Pro dipeptidyl-peptidase, C-terminal;Domain Xaa-Pro dipeptidyl-peptidase-like domain
OG0000097	40	17	IPR011701	Family Major facilitator superfamily
OG0000098	40	23	None	None
OG0000099	40	16	IPR000719	Domain Protein kinase domain
OG0000100	39	23	IPR004895	Family Prenylated rab acceptor PRA1
OG0000101	39	15	IPR001223;IPR001002	Domain Glycoside hydrolase family 18, catalytic domain;Domain Chitin-binding, type 1
OG0000102	39	16	IPR031359;IPR002110	Domain NWD NACHT-NTPase, N-terminal;Repeat Ankyrin repeat
OG0000103	39	15	None	None
OG0000104	39	19	IPR000070;IPR000743	Domain Pectinesterase, catalytic;Family Glycoside hydrolase, family 28
OG0000105	39	22	IPR000801	Family Esterase-like
OG0000106	39	14	IPR002110	Repeat Ankyrin repeat
OG0000107	39	20	IPR011701	Family Major facilitator superfamily
OG0000108	39	18	IPR022085	Family Oxopyrrolidines biosynthesis cluster protein G
OG0000109	38	18	IPR044862	Domain Prolyl 4-hydroxylase alpha subunit, Fe(2+) 2OG dioxygenase domain
OG0000110	38	12	IPR000917	Domain Sulfatase, N-terminal
OG0000111	38	22	None	None
OG0000112	38	20	IPR013154	Domain Alcohol dehydrogenase-like, N-terminal
OG0000113	38	22	IPR002938	Domain FAD-binding domain
OG0000114	38	20	IPR011701	Family Major facilitator superfamily
OG0000115	38	23	IPR018834	Domain DNA/RNA-binding domain, Est1-type
OG0000116	38	16	IPR000719	Domain Protein kinase domain
OG0000117	38	23	IPR015590	Domain Aldehyde dehydrogenase domain
OG0000118	38	18	None	None
OG0000119	38	15	None	None
OG0000120	38	14	IPR000719	Domain Protein kinase domain
OG0000121	37	23	None	None
OG0000122	37	21	IPR023631	Domain Amidase signature domain
OG0000123	37	23	IPR006047	Domain Glycosyl hydrolase, family 13, catalytic domain
OG0000124	37	23	None	None
OG0000125	37	23	None	None
OG0000126	37	18	IPR013057	Domain Amino acid transporter, transmembrane domain
OG0000127	37	22	IPR004843	Domain Calcineurin-like phosphoesterase domain, ApaH type
OG0000128	37	23	IPR008217	Family Ccc1 family
OG0000129	37	19	None	None
OG0000130	37	20	IPR001547	Domain Glycoside hydrolase, family 5
OG0000131	36	16	IPR011701	Family Major facilitator superfamily
OG0000132	36	22	IPR001179	Domain FKBP-type peptidyl-prolyl cis-trans isomerase domain
OG0000133	36	22	IPR001547	Domain Glycoside hydrolase, family 5
OG0000134	36	19	IPR006076	Domain FAD dependent oxidoreductase
OG0000135	36	23	IPR015366	Domain Peptidase S53, activation domain
OG0000136	36	19	IPR023210	Domain NADP-dependent oxidoreductase domain
OG0000137	36	23	None	None
OG0000138	36	22	None	None
OG0000139	36	23	IPR015590	Domain Aldehyde dehydrogenase domain
OG0000140	36	20	IPR025110;IPR000873	Domain AMP-binding enzyme, C-terminal domain;Domain AMP-dependent synthetase/ligase domain
OG0000141	36	13	IPR002110	Repeat Ankyrin repeat
OG0000142	36	22	None	None
OG0000143	36	19	None	None
OG0000144	36	23	IPR000648	Family Oxysterol-binding protein
OG0000145	35	20	IPR011701	Family Major facilitator superfamily
OG0000146	35	19	None	None
OG0000147	35	21	IPR011701	Family Major facilitator superfamily
OG0000148	35	18	IPR002938	Domain FAD-binding domain
OG0000149	35	14	IPR005828	Family Major facilitator, sugar transporter-like
OG0000150	35	20	None	None
OG0000151	35	23	IPR003439;IPR013525;IPR010929;IPR029481;IPR043926	Domain ABC transporter-like, ATP-binding domain;Domain ABC-2 type transporter, transmembrane domain;Domain CDR ABC transporter;Domain Pleiotropic ABC efflux transporter, N-terminal domain;Domain ABC transporter family G domain
OG0000152	35	18	IPR000917	Domain Sulfatase, N-terminal
OG0000153	35	19	IPR002938	Domain FAD-binding domain
OG0000154	35	13	None	None
OG0000155	35	14	IPR011701	Family Major facilitator superfamily
OG0000156	35	20	IPR005828	Family Major facilitator, sugar transporter-like
OG0000157	35	19	IPR008253	Domain Marvel domain
OG0000158	35	23	IPR013154;IPR013149	Domain Alcohol dehydrogenase-like, N-terminal;Domain Alcohol dehydrogenase-like, C-terminal
OG0000159	35	23	IPR001248	Family Purine-cytosine permease
OG0000160	35	21	None	None
OG0000161	35	19	IPR002938	Domain FAD-binding domain
OG0000162	35	22	None	None
OG0000163	35	23	IPR000791	Family Acetate transporter GPR1/Ato2/SatP-like
OG0000164	34	13	None	None
OG0000165	34	18	IPR009799	Domain EthD domain
OG0000166	34	19	IPR001764;IPR002772;IPR011658;IPR026891	Domain Glycoside hydrolase, family 3, N-terminal;Domain Glycoside hydrolase family 3 C-terminal domain;Domain PA14 domain;Domain Fibronectin type III-like domain
OG0000167	34	19	IPR041524	Domain Glycoside hydrolase 131, catalytic N-terminal
OG0000168	34	16	None	None
OG0000169	34	18	IPR001214	Domain SET domain
OG0000170	34	23	IPR007230;IPR021967;IPR025574	Domain Nuclear pore complex protein Nup98-Nup96-like, autopeptidase S59 domain;Domain Nuclear pore complex protein NUP96, C-terminal domain;Repeat Nucleoporin FG repeat
OG0000171	34	20	IPR021833	Family Protein of unknown function DUF3425
OG0000172	34	17	None	None
OG0000173	34	19	IPR008427	Domain Extracellular membrane protein, CFEM domain
OG0000174	34	19	IPR010730	Domain Heterokaryon incompatibility
OG0000175	34	15	IPR011251	Domain Luciferase-like domain
OG0000176	34	22	None	None
OG0000177	34	16	IPR002156	Domain Ribonuclease H domain
OG0000178	34	20	IPR003140	Domain Phospholipase/carboxylesterase/thioesterase
OG0000179	34	20	IPR011701	Family Major facilitator superfamily
OG0000180	34	20	IPR005828	Family Major facilitator, sugar transporter-like
OG0000181	34	14	IPR002575	Domain Aminoglycoside phosphotransferase
OG0000182	34	15	IPR000719	Domain Protein kinase domain
OG0000183	34	21	IPR011701	Family Major facilitator superfamily
OG0000184	34	14	None	None
OG0000185	33	14	IPR006094;IPR004113	Domain FAD linked oxidase, N-terminal;Domain FAD-binding oxidoreductase/transferase, type 4, C-terminal
OG0000186	33	19	IPR007657	Family Glycosyltransferase 61
OG0000187	33	11	IPR002018	Domain Carboxylesterase, type B
OG0000188	33	17	IPR002938	Domain FAD-binding domain
OG0000189	33	20	IPR005079	Domain Peptidase C45, hydrolase domain
OG0000190	33	16	IPR013096	Domain Cupin 2, conserved barrel
OG0000191	33	18	IPR000172;IPR007867	Domain Glucose-methanol-choline oxidoreductase, N-terminal;Domain Glucose-methanol-choline oxidoreductase, C-terminal
OG0000192	33	21	IPR010636	Family Cerato-ulmin hydrophobin family
OG0000193	33	19	IPR002509;IPR018959	Domain NodB homology domain;Domain Domain of unknown function DUF1989
OG0000194	33	22	None	None
OG0000195	33	19	IPR011701	Family Major facilitator superfamily
OG0000196	33	23	IPR011701	Family Major facilitator superfamily
OG0000197	33	23	IPR013078	Family Histidine phosphatase superfamily, clade-1
OG0000198	33	18	IPR008775	Family Phytanoyl-CoA dioxygenase-like
OG0000199	33	17	IPR002772;IPR001764;IPR026891	Domain Glycoside hydrolase family 3 C-terminal domain;Domain Glycoside hydrolase, family 3, N-terminal;Domain Fibronectin type III-like domain
OG0000200	33	17	IPR002227	Domain Tyrosinase copper-binding domain
OG0000201	33	18	None	None
OG0000202	33	20	IPR013094	Domain Alpha/beta hydrolase fold-3
OG0000203	33	17	IPR001138;IPR007219	Domain Zn(2)Cys(6) fungal-type DNA-binding domain;Domain Transcription factor domain, fungi
OG0000204	33	16	IPR002575	Domain Aminoglycoside phosphotransferase
OG0000205	33	15	IPR015590	Domain Aldehyde dehydrogenase domain
OG0000206	33	19	None	None
OG0000207	32	19	IPR011701	Family Major facilitator superfamily
OG0000208	32	14	IPR007325	Family Kynurenine formamidase/cyclase-like
OG0000209	32	19	IPR000560	Family Histidine phosphatase superfamily, clade-2
OG0000210	32	23	IPR008901	Family Alkaline ceramidase
OG0000211	32	17	IPR002938	Domain FAD-binding domain
OG0000212	32	18	IPR020946	Family Flavin monooxygenase-like
OG0000213	32	18	None	None
OG0000214	32	14	IPR002575	Domain Aminoglycoside phosphotransferase
OG0000215	32	16	None	None
OG0000216	32	23	IPR015590	Domain Aldehyde dehydrogenase domain
OG0000217	32	17	IPR005103;IPR000254	Domain Auxiliary Activity family 9, catalytic domain;Domain Cellulose-binding domain, fungal
OG0000218	32	12	IPR024535	Domain Rhamnogalacturonase A/B/Epimerase-like, pectate lyase domain
OG0000219	32	17	None	None
OG0000220	32	17	IPR005828	Family Major facilitator, sugar transporter-like
OG0000221	32	16	IPR012951;IPR006094	Domain Berberine/berberine-like;Domain FAD linked oxidase, N-terminal
OG0000222	32	23	IPR001128	Family Cytochrome P450
OG0000223	32	15	IPR007111	Domain NACHT nucleoside triphosphatase
OG0000224	32	19	IPR011701	Family Major facilitator superfamily
OG0000225	31	22	IPR000719	Domain Protein kinase domain
OG0000226	31	20	IPR033121;IPR007219	Domain Peptidase family A1 domain;Domain Transcription factor domain, fungi
OG0000227	31	19	IPR013830	Domain SGNH hydrolase-type esterase domain
OG0000228	31	19	IPR013094;IPR022742	Domain Alpha/beta hydrolase fold-3;Domain Serine aminopeptidase, S33
OG0000229	31	17	IPR005828	Family Major facilitator, sugar transporter-like
OG0000230	31	17	IPR020946	Family Flavin monooxygenase-like
OG0000231	31	23	IPR027450;IPR000868	Domain Alpha-ketoglutarate-dependent dioxygenase AlkB-like;Domain Isochorismatase-like
OG0000232	31	20	IPR015590	Domain Aldehyde dehydrogenase domain
OG0000233	31	16	None	None
OG0000234	31	20	None	None
OG0000235	31	23	IPR007219;IPR001138	Domain Transcription factor domain, fungi;Domain Zn(2)Cys(6) fungal-type DNA-binding domain
OG0000236	31	16	IPR001722	Family Glycoside hydrolase, family 7
OG0000237	31	14	None	None
OG0000238	31	17	IPR005828	Family Major facilitator, sugar transporter-like
OG0000239	31	23	None	None
OG0000240	31	17	IPR021858;IPR001138	Family Fungal transcription factor;Domain Zn(2)Cys(6) fungal-type DNA-binding domain
OG0000241	31	23	IPR006204;IPR013750	Domain GHMP kinase N-terminal domain;Domain GHMP kinase, C-terminal domain
OG0000242	31	23	IPR033121	Domain Peptidase family A1 domain
OG0000243	30	16	None	None
OG0000244	30	19	IPR021833	Family Protein of unknown function DUF3425
OG0000245	30	22	IPR006598	Domain Glycosyl transferase CAP10 domain
OG0000246	30	19	IPR011701	Family Major facilitator superfamily
OG0000247	30	20	IPR007867;IPR000172	Domain Glucose-methanol-choline oxidoreductase, C-terminal;Domain Glucose-methanol-choline oxidoreductase, N-terminal
OG0000248	30	18	None	None
OG0000249	30	16	None	None
OG0000250	30	17	IPR007568	Family RTA-like protein
OG0000251	30	15	IPR005828	Family Major facilitator, sugar transporter-like
OG0000252	30	19	IPR044862	Domain Prolyl 4-hydroxylase alpha subunit, Fe(2+) 2OG dioxygenase domain
OG0000253	30	22	IPR006115;IPR029154	Domain 6-phosphogluconate dehydrogenase, NADP-binding;Domain 3-hydroxyisobutyrate dehydrogenase-like, NAD-binding domain
OG0000254	30	23	IPR018535	Domain Domain of unknown function DUF1996
OG0000255	30	22	IPR005532;IPR024775;IPR019257	Domain Sulfatase-modifying factor enzyme;Domain DinB-like domain;Domain Histidine-specific methyltransferase, SAM-dependent
OG0000256	30	17	IPR003819	Domain TauD/TfdA-like domain
OG0000257	30	23	IPR019378	Family GDP-fucose protein O-fucosyltransferase
OG0000258	30	17	IPR006094;IPR004113	Domain FAD linked oxidase, N-terminal;Domain FAD-binding oxidoreductase/transferase, type 4, C-terminal
OG0000259	30	16	IPR023041	Domain Glucose receptor Git3, N-terminal
OG0000260	30	18	IPR010126	Family Esterase, PHB depolymerase
OG0000261	30	19	IPR011701	Family Major facilitator superfamily
OG0000262	30	23	IPR003010;IPR015942	Domain Carbon-nitrogen hydrolase;Family Asp/Glu/hydantoin racemase
OG0000263	30	22	IPR004014;IPR006068	Domain Cation-transporting P-type ATPase, N-terminal;Domain Cation-transporting P-type ATPase, C-terminal
OG0000264	30	19	IPR011701	Family Major facilitator superfamily
OG0000265	30	19	IPR023631	Domain Amidase signature domain
OG0000266	30	17	IPR002220	Family DapA-like
OG0000267	30	23	IPR032438;IPR032830;IPR006935	Domain ERCC3/RAD25/XPB helicase, C-terminal domain;Domain Helicase XPB/Ssl2, N-terminal domain;Domain Helicase/UvrB, N-terminal
OG0000268	30	23	IPR025995;IPR026541	Domain RNA binding activity-knot of a chromodomain;Domain MRG domain
OG0000269	30	23	None	None
OG0000270	30	20	IPR001128	Family Cytochrome P450
OG0000271	30	8	IPR007219;IPR001138	Domain Transcription factor domain, fungi;Domain Zn(2)Cys(6) fungal-type DNA-binding domain
OG0000272	30	17	IPR046540	Domain N,N-dimethylformamidase beta subunit-like, C-terminal
OG0000273	30	16	None	None
OG0000274	29	23	IPR001425	Family Archaeal/bacterial/fungal rhodopsins
OG0000275	29	23	None	None
OG0000276	29	20	IPR005828	Family Major facilitator, sugar transporter-like
OG0000277	29	23	IPR006076	Domain FAD dependent oxidoreductase
OG0000278	29	15	IPR010573	Family Major facilitator transporter Str1/Tri12-like
OG0000279	29	23	IPR013150;IPR013137	Domain Transcription factor TFIIB, cyclin-like domain;Domain Zinc finger, TFIIB-type
OG0000280	29	15	IPR013096	Domain Cupin 2, conserved barrel
OG0000281	29	18	IPR011701	Family Major facilitator superfamily
OG0000282	29	14	None	None
OG0000283	29	18	IPR013154;IPR013149	Domain Alcohol dehydrogenase-like, N-terminal;Domain Alcohol dehydrogenase-like, C-terminal
OG0000284	29	16	IPR010839	Family Acyclic terpene utilisation
OG0000285	29	19	IPR011701	Family Major facilitator superfamily
OG0000286	29	16	IPR000873;IPR025110	Domain AMP-dependent synthetase/ligase domain;Domain AMP-binding enzyme, C-terminal domain
OG0000287	29	18	IPR002347	Family Short-chain dehydrogenase/reductase SDR
OG0000288	29	21	IPR002933;IPR011650	Family Peptidase M20;Domain Peptidase M20, dimerisation domain
OG0000289	29	22	IPR007219	Domain Transcription factor domain, fungi
OG0000290	29	23	IPR004813	Family Oligopeptide transporter, OPT superfamily
OG0000291	29	23	None	None
OG0000292	29	23	IPR011613;IPR002044	Domain GH15-like domain;Domain Carbohydrate binding module family 20
OG0000293	29	19	IPR001936;IPR001251	Domain Ras GTPase-activating domain;Domain CRAL-TRIO lipid binding domain
OG0000294	29	17	IPR001248	Family Purine-cytosine permease
OG0000295	29	17	IPR001155	Domain NADH:flavin oxidoreductase/NADH oxidase, N-terminal
OG0000296	29	13	IPR000719	Domain Protein kinase domain
OG0000297	29	15	IPR005828	Family Major facilitator, sugar transporter-like
OG0000298	28	23	None	None
OG0000299	28	18	IPR010573	Family Major facilitator transporter Str1/Tri12-like
OG0000300	28	18	IPR001722	Family Glycoside hydrolase, family 7
OG0000301	28	18	IPR002640	Family Arylesterase
OG0000302	28	22	None	None
OG0000303	28	15	IPR005103	Domain Auxiliary Activity family 9, catalytic domain
OG0000304	28	23	IPR005828	Family Major facilitator, sugar transporter-like
OG0000305	28	17	IPR011701	Family Major facilitator superfamily
OG0000306	28	22	IPR000250	Family Peptidase G1
OG0000307	28	23	None	None
OG0000308	28	17	IPR013096	Domain Cupin 2, conserved barrel
OG0000309	28	13	IPR013736;IPR000383	Domain Xaa-Pro dipeptidyl-peptidase, C-terminal;Domain Xaa-Pro dipeptidyl-peptidase-like domain
OG0000310	28	17	IPR011701	Family Major facilitator superfamily
OG0000311	28	17	None	None
OG0000312	28	19	IPR035396	Domain Alpha-L-rhamnosidase, six-hairpin glycosidase domain
OG0000313	28	14	IPR002575	Domain Aminoglycoside phosphotransferase
OG0000314	28	23	IPR019787	Domain Zinc finger, PHD-finger
OG0000315	28	22	IPR002044;IPR006047;IPR015340	Domain Carbohydrate binding module family 20;Domain Glycosyl hydrolase, family 13, catalytic domain;Domain Alpha-amylase, domain C
OG0000316	28	23	IPR022190	Family Protein of unknown function DUF3716
OG0000317	28	16	IPR009075;IPR013786;IPR006091	Domain Acyl-CoA dehydrogenase/oxidase, C-terminal;Domain Acyl-CoA dehydrogenase/oxidase, N-terminal;Domain Acyl-CoA oxidase/dehydrogenase, middle domain
OG0000318	28	20	IPR015590	Domain Aldehyde dehydrogenase domain
OG0000319	28	23	IPR005000	Domain HpcH/HpaI aldolase/citrate lyase domain
OG0000320	28	17	IPR011701	Family Major facilitator superfamily
OG0000321	28	23	IPR013830	Domain SGNH hydrolase-type esterase domain
OG0000322	28	23	IPR001248	Family Purine-cytosine permease
OG0000323	28	22	IPR001223;IPR000254	Domain Glycoside hydrolase family 18, catalytic domain;Domain Cellulose-binding domain, fungal
OG0000324	28	13	IPR007219;IPR001138	Domain Transcription factor domain, fungi;Domain Zn(2)Cys(6) fungal-type DNA-binding domain
OG0000325	28	19	IPR019034;IPR025207	Family Uncharacterised protein family UPF0390;Family Kinetochore Sim4 complex subunit Fta4
OG0000326	28	13	IPR000209	Domain Peptidase S8/S53 domain
OG0000327	27	23	IPR007081;IPR007083;IPR000722;IPR007066;IPR007080	Domain RNA polymerase Rpb1, domain 5;Domain RNA polymerase Rpb1, domain 4;Domain RNA polymerase, alpha subunit;Domain RNA polymerase Rpb1, domain 3;Domain RNA polymerase Rpb1, domain 1
OG0000328	27	23	IPR019787	Domain Zinc finger, PHD-finger
OG0000329	27	18	IPR002575	Domain Aminoglycoside phosphotransferase
OG0000330	27	23	IPR018606	Family Argonaute-binding protein 1
OG0000331	27	23	IPR015798;IPR015800	Domain Copper amine oxidase, catalytic domain;Domain Copper amine oxidase, N2-terminal
OG0000332	27	23	IPR001117;IPR011706;IPR011707	Domain Multicopper oxidase, second cupredoxin domain;Domain Multicopper oxidase, C-terminal;Domain Multicopper oxidase-like, N-terminal
OG0000333	27	23	None	None
OG0000334	27	23	IPR005814	Family Aminotransferase class-III
OG0000335	27	21	IPR006094;IPR004113;IPR001466	Domain FAD linked oxidase, N-terminal;Domain FAD-binding oxidoreductase/transferase, type 4, C-terminal;Domain Beta-lactamase-related
OG0000336	27	23	IPR000253;IPR001841	Domain Forkhead-associated (FHA) domain;Domain Zinc finger, RING-type
OG0000337	27	14	None	None
OG0000338	27	23	IPR028281;IPR000878;IPR028162	Domain Siroheme synthase, central domain;Domain Tetrapyrrole methylase;Domain Siroheme biosynthesis protein Met8, C-terminal
OG0000339	27	23	IPR002060	Family Squalene/phytoene synthase
OG0000340	27	23	None	None
OG0000341	27	18	IPR010451;IPR002938	Family Acetoacetate decarboxylase;Domain FAD-binding domain
OG0000342	27	23	IPR000195	Domain Rab-GAP-TBC domain
OG0000343	27	19	IPR011701	Family Major facilitator superfamily
OG0000344	27	19	IPR005828	Family Major facilitator, sugar transporter-like
OG0000345	27	18	IPR005828	Family Major facilitator, sugar transporter-like
OG0000346	27	22	None	None
OG0000347	27	20	IPR013097	Domain Stress responsive alpha-beta barrel
OG0000348	27	16	IPR012131	Family Histidinol dehydrogenase
OG0000349	27	23	IPR001128	Family Cytochrome P450
OG0000350	27	23	IPR001242;IPR009081;IPR000873	Domain Condensation domain;Domain Phosphopantetheine binding ACP domain;Domain AMP-dependent synthetase/ligase domain
OG0000351	27	20	IPR021858	Family Fungal transcription factor
OG0000352	27	23	IPR004014;IPR006068	Domain Cation-transporting P-type ATPase, N-terminal;Domain Cation-transporting P-type ATPase, C-terminal
OG0000353	27	23	IPR007484	Domain Peptidase M28
OG0000354	27	18	IPR003439;IPR011527	Domain ABC transporter-like, ATP-binding domain;Domain ABC transporter type 1, transmembrane domain
OG0000355	27	22	IPR044861;IPR026992	Domain Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain;Domain Non-haem dioxygenase N-terminal domain
OG0000356	27	23	IPR024535	Domain Rhamnogalacturonase A/B/Epimerase-like, pectate lyase domain
OG0000357	27	15	IPR000719	Domain Protein kinase domain
OG0000358	27	15	IPR002575	Domain Aminoglycoside phosphotransferase
OG0000359	26	23	IPR001661;IPR011120	Family Glycoside hydrolase, family 37;Domain Neutral trehalase Ca2+ binding
OG0000360	26	20	IPR026891;IPR002772;IPR001764	Domain Fibronectin type III-like domain;Domain Glycoside hydrolase family 3 C-terminal domain;Domain Glycoside hydrolase, family 3, N-terminal
OG0000361	26	23	None	None
