IPR_domain_description	n
Domain Ecp2 effector protein-like	1
Domain Endonuclease/exonuclease/phosphatase	1
Domain Enolase, C-terminal TIM barrel domain	1
Domain Enolase, N-terminal	1
Domain Epoxide hydrolase, N-terminal	1
Domain Ester hydrolase C11orf54, Domain of unknown function DUF1907	1
Domain Exo-beta-D-glucosaminidase, Ig-fold domain	1
Domain Fido domain	1
Domain Flavin reductase like domain	1
Domain Four-carbon acid sugar kinase, N-terminal domain	1
Domain Four-carbon acid sugar kinase, nucleotide binding domain	1
Domain GPI ethanolamine phosphate transferase 2, C-terminal	1
Domain GTP binding domain	1
Domain Gamma-glutamylcyclotransferase, AIG2-like domain	1
Domain Gelsolin-like domain	1
Domain Globin	1
Domain Glucosamine/galactosamine-6-phosphate isomerase	1
Domain Glucose receptor Git3, N-terminal	1
Domain Glutamine amidotransferase	1
Domain Glutamine synthetase, catalytic domain	1
Domain Glycoside hydrolase 64	1
Domain Glycoside hydrolase family 2, domain 5	1
Domain Glycoside hydrolase family 20, catalytic domain	1
Domain Glycoside hydrolase, family 42, N-terminal	1
Domain Glycoside hydrolase, family 49, C-terminal	1
Domain Glycoside hydrolase, family 49, N-terminal domain	1
Domain Glycosyl hydrolase 36, catalytic domain	1
Domain Glycosyl hydrolase 94	1
Domain Glycosyl hydrolase family 30, beta sandwich domain	1
Domain Glycosyl hydrolase family 32, C-terminal	1
Domain Glycosyl hydrolase family 32, N-terminal	1
Domain Glycosyl hydrolase family 67, C-terminal	1
Domain Glycosyl hydrolase family 67, catalytic domain	1
Domain Glycosyl hydrolase family 95, N-terminal domain	1
Domain Glycosyl hydrolases family 11 (GH11) domain	1
Domain Glycosyltransferase 2-like	1
Domain Glycosyltransferase family 28, N-terminal domain	1
Domain HTH CenpB-type DNA-binding domain	1
Domain Heavy metal-associated domain, HMA	1
Domain Hexokinase, C-terminal	1
Domain Hexokinase, N-terminal	1
Domain Inosine/uridine-preferring nucleoside hydrolase domain	1
Domain Inositolphosphotransferase Aur1/Ipt1	1
Domain Iron/zinc purple acid phosphatase-like C-terminal domain	1
Domain Ketopantoate reductase, C-terminal domain	1
Domain Ketopantoate reductase, N-terminal domain	1
Domain KxDL domain	1
Domain L-asparaginase, N-terminal	1
Domain Large catalase, C-terminal domain	1
Domain LicD/FKTN/FKRP, nucleotidyltransferase domain	1
Domain Linalool dehydratase/isomerase	1
Domain MJ1316 RNA cyclic group end recognition domain	1
Domain Manganese/iron superoxide dismutase, C-terminal	1
Domain Manganese/iron superoxide dismutase, N-terminal	1
Domain Mannosidase Ig/CBM-like domain	1
Domain Methyltransferase domain	1
Domain Methyltransferase type 11	1
Domain Methyltransferase type 12	1
Domain Moybdenum cofactor oxidoreductase, dimerisation	1
Domain Myc-type, basic helix-loop-helix (bHLH) domain	1
Domain N,N-dimethylformamidase beta subunit-like, C-terminal	1
Domain N-sulphoglucosamine sulphohydrolase, C-terminal	1
Domain NADH:ubiquinone oxidoreductase-like, 20kDa subunit	1
Domain NADPH-dependent FMN reductase-like domain	1
Domain Neutral/alkaline non-lysosomal ceramidase, C-terminal	1
Domain Nitrite/Sulfite reductase ferredoxin-like domain	1
Domain Nitrite/sulphite reductase 4Fe-4S domain	1
Domain Nitroreductase	1
Domain Oxidoreductase, molybdopterin-binding domain	1
Domain PA domain	1
Domain PAN/Apple domain	1
Domain PAZ domain	1
Domain PEP-utilising enzyme, C-terminal	1
Domain PPM-type phosphatase-like domain	1
Domain PdxS/SNZ N-terminal domain	1
Domain Peptidase C19, ubiquitin carboxyl-terminal hydrolase	1
Domain Peptidase C45, hydrolase domain	1
Domain Peptidase M14, carboxypeptidase A	1
Domain Peptidase M24	1
Domain Peptidase M28	1
Domain Peptidase S33 tripeptidyl aminopeptidase-like, C-terminal	1
Domain Peptidase S8 propeptide/proteinase inhibitor I9	1
Domain Peptidase S9A, N-terminal domain	1
Domain Phosphatidate phosphatase APP1, catalytic domain	1
Domain Phosphogluconate dehydrogenase, NAD-binding, putative, C-terminal	1
Domain Piwi domain	1
Domain Poly(A) polymerase, central domain	1
Domain Poly(ADP-ribose) polymerase, catalytic domain	1
Domain Potassium channel domain	1
Domain Prion-inhibition and propagation, HeLo domain	1
Domain Protein argonaute, N-terminal	1
Domain Purple acid phosphatase, N-terminal	1
Domain Pyridoxamine 5'-phosphate oxidase, putative	1
Domain Pyridoxine 5'-phosphate oxidase, dimerisation, C-terminal	1
Domain Pyrroline-5-carboxylate reductase, dimerisation domain	1
Domain Pyruvate carboxyltransferase	1
Domain RNA 3'-terminal phosphate cyclase domain	1
Domain RNA recognition motif domain	1
Domain Radical SAM	1
Domain RelA/SpoT	1
Domain Ricin B, lectin domain	1
Domain RlpA-like protein, double-psi beta-barrel domain	1
Domain SAF domain	1
Domain SANT/Myb domain	1
Domain SLC26A/SulP transporter domain	1
Domain SRR1-like domain	1
Domain STAS domain	1
Domain Serine hydrolase domain	1
Domain Serine-threonine/tyrosine-protein kinase, catalytic domain	1
Domain Sialidase	1
Domain Sodium/calcium exchanger membrane region	1
Domain Starter unit:ACP transacylase	1
Domain Superoxide dismutase, copper/zinc binding domain	1
Domain Telomerase ribonucleoprotein complex - RNA-binding domain	1
Domain Thioesterase	1
Domain Thiolase-like protein type 1, additional C-terminal domain	1
Domain Threonylcarbamoyl-AMP synthase-like domain	1
Domain Transcription regulator Rua1, C-terminal	1
Domain Tuberculosis necrotizing toxin	1
Domain Ubiquitin-conjugating enzyme E2	1
Domain Ubiquitin-like domain	1
Domain V-ATPase proteolipid subunit C-like domain	1
Domain YCII-related	1
Domain Zinc chaperone CobW-like, C-terminal	1
Domain Zinc finger, C3HC4 RING-type	1
Domain Zinc finger, CHY-type	1
Domain Zinc finger, PHD-finger	1
Domain Zinc finger, ZZ-type	1
Family 1, 4-beta cellobiohydrolase	1
Family ADP-ribosylation/Crystallin J1	1
Family ATPase expression protein 2, mitochondrial	1
Family Acetate kinase EutQ	1
Family Acetoacetate decarboxylase	1
Family AdipoR/Haemolysin-III-related	1
Family Aliphatic aldoxime/phenylacetaldoxime dehydratase	1
Family Alkaline phosphatase	1
Family Archaeal/bacterial/fungal rhodopsins	1
Family Aromatic amino acid lyase	1
Family Autophagy-related protein 22-like	1
Family Bestrophin-like	1
Family Biogenesis of lysosome-related organelles complex 1 subunit 1	1
Family C-5 cytosine methyltransferase	1
Family Carbonic anhydrase	1
Family CidB/LrgB family	1
Family Citrate synthase	1
Family Coenzyme A transferase family I	1
Family Corrinoid adenosyltransferase PduO/GlcC-like	1
Family Ctr copper transporter	1
Family Cutinase/acetylxylan esterase	1
Family Cytochrome c oxidase copper chaperone	1
Family D-glutamate cyclase	1
Family DeoC/FbaB/LacD aldolase	1
Family Dyp-type peroxidase	1
Family Ecdysteroid kinase-like	1
Family Glycoside hydrolase family 1	1
Family Glycoside hydrolase family 12	1
Family Glycoside hydrolase family 71	1
Family Glycoside hydrolase, family 27	1
Family Glycoside hydrolase, family 29	1
Family Glycoside hydrolase, family 59	1
Family Glycoside hydrolase, family 62, arabinosidase	1
Family Glycosyl hydrolase family 53	1
Family Glycosyl transferase, family 25	1
Family Glycosyltransferase WbsX	1
Family Guanine-specific ribonuclease N1-like	1
Family Haem peroxidase, animal-type	1
Family Histidinol dehydrogenase	1
Family Increased loss of mitochondrial DNA protein 1	1
Family Initiation factor 2B-related	1
Family Inositol monophosphatase-like	1
Family Interferon alpha-inducible protein IFI6/IFI27-like	1
Family Iron permease FTR1/Fip1/EfeU	1
Family Isocitrate lyase	1
Family L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase	1
Family LamB/YcsF/PxpA-like	1
Family Large ribosomal subunit protein bL32	1
Family Large ribosomal subunit protein bL33	1
Family Large ribosomal subunit protein eL29	1
Family Large ribosomal subunit protein eL39	1
Family Low affinity iron permease, Fet4	1
Family LrgA/CidA family	1
Family MOB kinase activator family	1
Family Maleate isomerase/Arylmalonate decarboxylase	1
Family Mannoside phosphorylase	1
Family Mature-T-Cell Proliferation I type	1
Family Mitochondrial export protein Som1	1
Family Molybdate-anion transporter	1
Family Monooxygenase af470-like	1
Family Mpv17/PMP22	1
Family Multi antimicrobial extrusion protein	1
Family Necrosis inducing protein	1
Family Nucleobase cation symporter 2 family	1
Family Oleate hydratase	1
Family Oligosaccaryltransferase	1
Family Oligosaccharyltransferase complex subunit	1
Family OsmC/Ohr family	1
Family Oxysterol-binding protein	1
Family PLAC8 motif-containing protein	1
Family PcRGLX/YetA-like	1
Family Peptidase G1	1
Family Peptidase M19	1
Family Peptidase S58, DmpA	1
Family Peptidase T2, asparaginase 2	1
Family Peptidase family M49	1
Family Phenazine biosynthesis PhzF-like	1
Family Phosphatidylserine decarboxylase-related	1
Family Pma1 stabilization in the Golgi protein 1	1
Family Potassium transporter	1
Family Protein Hri1	1
Family Protein of unknown function DUF1223	1
Family Protein of unknown function DUF1348	1
Family Protein of unknown function DUF1365	1
Family Protein of unknown function DUF3405	1
Family Protein of unknown function DUF3431	1
Family Protein of unknown function DUF3435	1
Family Protein of unknown function DUF3716	1
Family Protein of unknown function DUF3723	1
Family Protein of unknown function DUF4246	1
Family Protein of unknown function DUF4267	1
Family Protein of unknown function DUF6546	1
Family PrpF-like	1
Family Pyridoxal 5'-phosphate synthase subunit PdxT/SNO	1
