#cluster_id	cluster_protein_count	protein_median_count	TAXON_count	attribute	attribute_cluster_type	protein_span_mean	protein_span_sd	epigloea_count	other_count	epigloea_median	other_median	epigloea_cov	other_cov
OG0000051	49	3.0	18	compare	specific	485.9591836734694	61.3058439081691	0	49	0.0	3.0	0.00	0.90
OG0000052	49	2.0	23	compare	shared	365.9795918367347	69.88693194708335	3	46	1.0	2.0	1.00	1.00
OG0000053	49	3.0	14	compare	specific	338.8979591836735	103.17732801465269	0	49	0.0	2.5	0.00	0.70
OG0000054	48	2.0	20	compare	specific	561.8958333333334	110.22765071722655	0	48	0.0	2.0	0.00	1.00
OG0000055	48	3.0	19	compare	specific	515.5625	165.67260715162502	0	48	0.0	2.5	0.00	0.95
OG0000056	48	3.0	17	compare	specific	446.5416666666667	135.90958365970945	0	48	0.0	2.5	0.00	0.85
OG0000057	48	3.0	17	compare	specific	514.4791666666666	175.7812311728385	0	48	0.0	3.0	0.00	0.85
OG0000058	47	2.0	17	compare	shared	275.0	101.67490956004117	1	46	0.0	1.5	0.33	0.80
OG0000059	47	2.0	23	compare	shared	902.936170212766	257.43641266156607	3	44	1.0	2.0	1.00	1.00
OG0000060	47	2.0	19	compare	specific	466.1489361702128	132.07718225846716	0	47	0.0	2.0	0.00	0.95
OG0000061	47	3.0	18	compare	specific	580.1063829787234	173.6652728110435	0	47	0.0	3.0	0.00	0.90
OG0000062	46	2.0	20	compare	shared	424.80434782608694	33.44796059631932	2	44	1.0	2.0	0.67	0.90
OG0000063	46	2.0	23	compare	shared	406.95652173913044	142.64701897580727	6	40	2.0	2.0	1.00	1.00
OG0000064	46	3.0	15	compare	specific	572.3695652173913	212.5440474753463	0	46	0.0	2.5	0.00	0.75
OG0000065	46	2.0	23	compare	shared	565.9347826086956	117.61033712589122	3	43	1.0	2.0	1.00	1.00
OG0000066	46	2.0	23	compare	shared	102.80434782608695	1.3124746824455287	6	40	2.0	2.0	1.00	1.00
OG0000067	46	2.5	20	compare	specific	606.0434782608696	78.98842967602477	0	46	0.0	2.5	0.00	1.00
OG0000068	46	3.0	17	compare	specific	229.7173913043478	14.241188035868632	0	46	0.0	3.0	0.00	0.85
OG0000069	45	2.0	23	compare	shared	115.5111111111111	20.62643635103287	3	42	1.0	2.0	1.00	1.00
OG0000070	45	2.0	14	compare	specific	244.06666666666666	79.93286071586718	0	45	0.0	1.0	0.00	0.70
OG0000071	45	3.0	18	compare	specific	397.0	142.5080114707006	0	45	0.0	2.5	0.00	0.90
OG0000072	45	2.0	20	compare	shared	430.35555555555555	57.369041421137986	3	42	1.0	2.0	1.00	0.85
OG0000073	44	3.0	14	compare	specific	556.1136363636364	131.92425786810244	0	44	0.0	2.5	0.00	0.70
OG0000074	44	2.0	23	compare	shared	263.95454545454544	30.851517235015834	3	41	1.0	2.0	1.00	1.00
OG0000075	44	2.0	17	compare	specific	311.52272727272725	80.96926707550095	0	44	0.0	2.0	0.00	0.85
OG0000076	43	2.0	18	compare	shared	547.7441860465116	135.25154738800262	8	35	3.0	2.0	1.00	0.75
OG0000077	43	2.0	20	compare	specific	347.30232558139534	59.72399108290353	0	43	0.0	2.0	0.00	1.00
OG0000078	43	2.0	19	compare	specific	316.30232558139534	43.132319336384604	0	43	0.0	2.0	0.00	0.95
OG0000079	43	2.0	23	compare	shared	532.9069767441861	181.41303431973265	4	39	1.0	2.0	1.00	1.00
OG0000080	43	1.0	23	compare	shared	892.7441860465116	142.09480834717783	23	20	6.0	1.0	1.00	1.00
OG0000081	42	2.0	23	compare	shared	592.452380952381	138.3718596462088	6	36	2.0	2.0	1.00	1.00
OG0000082	42	2.0	17	compare	specific	511.2857142857143	92.5334651727187	0	42	0.0	2.0	0.00	0.85
OG0000083	42	3.0	17	compare	specific	246.14285714285714	29.683706793114506	0	42	0.0	2.5	0.00	0.85
OG0000084	41	2.0	19	compare	specific	545.7560975609756	54.10143160623516	0	41	0.0	2.0	0.00	0.95
OG0000085	41	1.0	19	compare	shared	309.4390243902439	82.91166288858658	2	39	1.0	1.0	0.67	0.85
OG0000086	41	2.0	20	compare	shared	345.5609756097561	72.6656388017254	3	38	1.0	2.0	1.00	0.85
OG0000087	41	2.0	19	compare	specific	533.3414634146342	236.0349922131842	0	41	0.0	2.0	0.00	0.95
OG0000088	41	2.0	23	compare	shared	773.4878048780488	68.05489962871242	3	38	1.0	2.0	1.00	1.00
OG0000089	41	2.0	23	compare	shared	450.7073170731707	144.0262922986276	6	35	2.0	2.0	1.00	1.00
OG0000090	41	2.0	23	compare	shared	416.4390243902439	146.96142662658582	5	36	2.0	2.0	1.00	1.00
OG0000091	41	2.0	17	compare	shared	230.78048780487805	63.81242030457629	4	37	0.0	1.5	0.33	0.80
OG0000092	41	2.0	18	compare	specific	301.0731707317073	153.89026661306147	0	41	0.0	2.0	0.00	0.90
OG0000093	40	2.0	18	compare	specific	430.675	72.17630757388464	0	40	0.0	2.0	0.00	0.90
OG0000094	40	2.0	16	compare	specific	844.325	641.1260167665948	0	40	0.0	2.0	0.00	0.80
OG0000095	40	2.0	23	compare	shared	372.95	113.24728473566154	3	37	1.0	2.0	1.00	1.00
OG0000096	40	3.0	17	compare	specific	600.025	104.44076969747015	0	40	0.0	2.0	0.00	0.85
OG0000097	40	2.0	17	compare	specific	522.95	108.210200535809	0	40	0.0	1.0	0.00	0.85
OG0000098	40	1.0	23	compare	shared	529.6	132.81355352523326	3	37	1.0	2.0	1.00	1.00
OG0000099	40	2.0	16	compare	shared	328.075	177.412004596645	9	31	0.0	1.0	0.33	0.75
OG0000100	39	2.0	23	compare	shared	317.3333333333333	165.64517737116523	6	33	2.0	2.0	1.00	1.00
OG0000101	39	2.0	15	compare	specific	761.3076923076923	468.2269422278132	0	39	0.0	2.0	0.00	0.75
OG0000102	39	2.5	16	compare	specific	620.8461538461538	354.759328925352	0	39	0.0	2.0	0.00	0.80
OG0000103	39	2.0	15	compare	specific	882.1025641025641	462.225985071671	0	39	0.0	2.0	0.00	0.75
OG0000104	39	2.0	19	compare	specific	487.94871794871796	222.88101329655683	0	39	0.0	2.0	0.00	0.95
OG0000105	39	2.0	22	compare	shared	304.2564102564103	44.457826716389434	6	33	2.0	2.0	1.00	0.95
OG0000106	39	2.0	14	compare	specific	537.6410256410256	197.36735073818463	0	39	0.0	1.0	0.00	0.70
OG0000107	39	2.0	20	compare	specific	494.84615384615387	89.43283927963685	0	39	0.0	2.0	0.00	1.00
OG0000108	39	2.0	18	compare	specific	451.28205128205127	208.26215588838846	0	39	0.0	1.5	0.00	0.90
OG0000109	38	1.0	18	compare	specific	775.3684210526316	374.5966547362805	0	38	0.0	1.0	0.00	0.90
OG0000110	38	3.0	12	compare	specific	587.4736842105264	170.30386725560894	0	38	0.0	1.5	0.00	0.60
OG0000111	38	2.0	22	compare	shared	278.92105263157896	30.24407865399124	3	35	1.0	2.0	1.00	0.95
OG0000112	38	2.0	20	compare	specific	341.92105263157896	63.18659983645241	0	38	0.0	2.0	0.00	1.00
OG0000113	38	2.0	22	compare	shared	445.0263157894737	98.57497462981513	3	35	1.0	2.0	1.00	0.95
OG0000114	38	2.0	20	compare	specific	630.2368421052631	74.42531905436142	0	38	0.0	2.0	0.00	1.00
OG0000115	38	1.0	23	compare	shared	550.1052631578947	260.25198209202074	3	35	1.0	1.0	1.00	1.00
OG0000116	38	1.0	16	compare	specific	411.9736842105263	163.6609921762385	0	38	0.0	1.0	0.00	0.80
OG0000117	38	2.0	23	compare	shared	531.6578947368421	113.97582299394384	3	35	1.0	2.0	1.00	1.00
OG0000118	38	2.0	18	compare	specific	209.57894736842104	54.26331104169516	0	38	0.0	2.0	0.00	0.90
OG0000119	38	2.0	15	compare	shared	356.89473684210526	120.29826736156221	15	23	5.0	1.0	1.00	0.60
OG0000120	38	2.0	14	compare	shared	254.39473684210526	130.53000047855184	19	19	3.0	1.0	0.67	0.60
OG0000121	37	2.0	23	compare	shared	894.5135135135135	493.93038253417654	8	29	3.0	1.0	1.00	1.00
OG0000122	37	2.0	21	compare	shared	566.5945945945946	111.06011507274236	3	34	1.0	2.0	1.00	0.90
OG0000123	37	1.0	23	compare	shared	605.4864864864865	97.44648472342408	3	34	1.0	1.5	1.00	1.00
OG0000124	37	2.0	23	compare	shared	239.1891891891892	12.614530098773244	3	34	1.0	2.0	1.00	1.00
OG0000125	37	2.0	23	compare	shared	587.2432432432432	33.111935796387314	3	34	1.0	2.0	1.00	1.00
OG0000126	37	2.0	18	compare	specific	442.7567567567568	86.6638131425123	0	37	0.0	2.0	0.00	0.90
OG0000127	37	2.0	22	compare	shared	295.3783783783784	38.90275565265709	3	34	1.0	2.0	1.00	0.95
OG0000128	37	2.0	23	compare	shared	346.5405405405405	51.44274938776776	3	34	1.0	2.0	1.00	1.00
OG0000129	37	1.0	19	compare	shared	479.4054054054054	126.69466582757133	6	31	1.0	1.0	0.67	0.85
OG0000130	37	2.0	20	compare	specific	369.1081081081081	83.87435383689034	0	37	0.0	2.0	0.00	1.00
OG0000131	36	2.0	16	compare	specific	462.77777777777777	61.940433352944986	0	36	0.0	2.0	0.00	0.80
OG0000132	36	2.0	22	compare	shared	167.52777777777777	30.128876985295378	3	33	1.0	2.0	1.00	0.95
OG0000133	36	2.0	22	compare	shared	408.44444444444446	44.514320070714604	3	33	1.0	2.0	1.00	0.95
OG0000134	36	2.0	19	compare	specific	366.3888888888889	34.46437595367922	0	36	0.0	2.0	0.00	0.95
OG0000135	36	1.0	23	compare	shared	746.7222222222222	73.34038265781724	16	20	3.0	1.0	1.00	1.00
OG0000136	36	2.0	19	compare	specific	317.77777777777777	55.92907766444091	0	36	0.0	2.0	0.00	0.95
OG0000137	36	2.0	23	compare	shared	548.2222222222222	194.2324081997176	5	31	2.0	2.0	1.00	1.00
OG0000138	36	2.0	22	compare	shared	649.9722222222222	321.3290530585527	2	34	1.0	2.0	0.67	1.00
OG0000139	36	1.0	23	compare	shared	483.3333333333333	146.3378890710734	3	33	1.0	1.0	1.00	1.00
OG0000140	36	2.0	20	compare	specific	587.1944444444445	10.723337593109829	0	36	0.0	2.0	0.00	1.00
OG0000141	36	2.0	13	compare	specific	249.86111111111111	99.80707856709748	0	36	0.0	1.5	0.00	0.65
OG0000142	36	2.0	22	compare	shared	157.55555555555554	69.3575456298914	4	32	2.0	2.0	0.67	1.00
OG0000143	36	2.0	19	compare	specific	325.97222222222223	118.4172205267627	0	36	0.0	2.0	0.00	0.95
OG0000144	36	2.0	23	compare	shared	340.6666666666667	145.16083034574677	3	33	1.0	2.0	1.00	1.00
OG0000145	35	1.5	20	compare	specific	489.9428571428571	60.265101418479254	0	35	0.0	1.5	0.00	1.00
OG0000146	35	2.0	19	compare	specific	242.31428571428572	35.72415863535601	0	35	0.0	2.0	0.00	0.95
OG0000147	35	2.0	21	compare	shared	494.57142857142856	69.75437957137713	6	29	2.0	1.0	1.00	0.90
OG0000148	35	1.5	18	compare	specific	403.7142857142857	60.9372377022089	0	35	0.0	1.0	0.00	0.90
OG0000149	35	2.5	14	compare	specific	485.2	95.24038759145947	0	35	0.0	2.0	0.00	0.70
OG0000150	35	2.0	20	compare	specific	386.42857142857144	27.322712388137784	0	35	0.0	2.0	0.00	1.00
OG0000151	35	1.0	23	compare	shared	1472.9142857142858	254.76402206507785	3	32	1.0	1.5	1.00	1.00
OG0000152	35	2.0	18	compare	specific	500.37142857142857	139.47536100161423	0	35	0.0	2.0	0.00	0.90
OG0000153	35	2.0	19	compare	specific	430.14285714285717	34.4575456029531	0	35	0.0	2.0	0.00	0.95
OG0000154	35	2.0	13	compare	specific	169.22857142857143	35.37722085045744	0	35	0.0	1.5	0.00	0.65
OG0000155	35	2.0	14	compare	specific	547.4857142857143	14.375318984925771	0	35	0.0	2.0	0.00	0.70
OG0000156	35	2.0	20	compare	specific	557.4285714285714	26.372372680825038	0	35	0.0	2.0	0.00	1.00
OG0000157	35	2.0	19	compare	specific	206.77142857142857	38.72178103510493	0	35	0.0	2.0	0.00	0.95
OG0000158	35	2.0	23	compare	shared	357.62857142857143	8.346378904430738	3	32	1.0	2.0	1.00	1.00
OG0000159	35	1.0	23	compare	shared	552.1714285714286	29.510759020384135	9	26	3.0	1.0	1.00	1.00
OG0000160	35	2.0	21	compare	shared	654.6	372.1348603473132	3	32	1.0	2.0	0.67	0.95
OG0000161	35	2.0	19	compare	specific	397.3142857142857	69.7897951723895	0	35	0.0	2.0	0.00	0.95
OG0000162	35	2.0	22	compare	shared	382.0857142857143	144.19240547240472	5	30	2.0	2.0	1.00	0.95
OG0000163	35	2.0	23	compare	shared	247.68571428571428	43.00748866921496	3	32	1.0	2.0	1.00	1.00
OG0000164	34	3.0	13	compare	specific	341.44117647058823	93.46977843650244	0	34	0.0	1.0	0.00	0.65
OG0000165	34	2.0	18	compare	specific	142.23529411764707	12.075884630923614	0	34	0.0	2.0	0.00	0.90
OG0000166	34	2.0	19	compare	specific	859.0588235294117	21.113058652756603	0	34	0.0	2.0	0.00	0.95
OG0000167	34	2.0	19	compare	specific	285.2352941176471	39.48496275466174	0	34	0.0	2.0	0.00	0.95
OG0000168	34	2.0	16	compare	specific	401.8235294117647	180.75763275532228	0	34	0.0	2.0	0.00	0.80
OG0000169	34	2.0	18	compare	specific	396.5	100.72450779521455	0	34	0.0	2.0	0.00	0.90
OG0000170	34	1.0	23	compare	shared	1363.9411764705883	553.9498247174544	4	30	1.0	1.5	1.00	1.00
OG0000171	34	2.0	20	compare	specific	397.5882352941176	79.25169051715545	0	34	0.0	2.0	0.00	1.00
OG0000172	34	2.0	17	compare	specific	278.97058823529414	13.498333871298264	0	34	0.0	1.5	0.00	0.85
OG0000173	34	2.0	19	compare	specific	588.1470588235294	437.75632036643543	0	34	0.0	2.0	0.00	0.95
OG0000174	34	2.0	19	compare	specific	463.02941176470586	200.09534275882496	0	34	0.0	1.5	0.00	0.95
OG0000175	34	2.0	15	compare	specific	543.8529411764706	223.02296536362522	0	34	0.0	2.0	0.00	0.75
OG0000176	34	1.5	22	compare	shared	195.6764705882353	34.27460094437562	2	32	1.0	2.0	0.67	1.00
OG0000177	34	2.0	16	compare	specific	259.4117647058824	64.18040641406104	0	34	0.0	1.0	0.00	0.80
OG0000178	34	2.0	20	compare	shared	309.7352941176471	106.96984424525759	1	33	0.0	2.0	0.33	0.95
OG0000179	34	2.0	20	compare	specific	511.05882352941177	99.83484632027229	0	34	0.0	2.0	0.00	1.00
OG0000180	34	2.0	20	compare	specific	514.8235294117648	76.25440029279517	0	34	0.0	2.0	0.00	1.00
OG0000181	34	3.0	14	compare	specific	459.9117647058824	170.38371360429872	0	34	0.0	1.5	0.00	0.70
OG0000182	34	2.0	15	compare	shared	556.6470588235294	231.18771114716958	4	30	1.0	1.0	0.67	0.65
OG0000183	34	2.0	21	compare	shared	527.9705882352941	5.485195551866364	3	31	1.0	2.0	1.00	0.90
OG0000184	34	1.5	14	compare	shared	395.3235294117647	197.05429538256638	2	32	0.0	1.0	0.33	0.65
OG0000185	33	2.0	14	compare	specific	505.6363636363636	115.06409759987618	0	33	0.0	2.0	0.00	0.70
OG0000186	33	2.0	19	compare	specific	502.24242424242425	136.07418438017223	0	33	0.0	2.0	0.00	0.95
OG0000187	33	3.0	11	compare	specific	502.5151515151515	111.24750489871295	0	33	0.0	1.5	0.00	0.55
OG0000188	33	2.0	17	compare	specific	418.54545454545456	86.07293979054815	0	33	0.0	1.5	0.00	0.85
OG0000189	33	1.5	20	compare	shared	320.42424242424244	71.95412271677857	6	27	2.0	1.0	1.00	0.85
OG0000190	33	2.0	16	compare	specific	187.66666666666666	37.668946029182905	0	33	0.0	1.5	0.00	0.80
OG0000191	33	2.0	18	compare	specific	648.5151515151515	23.660632451550114	0	33	0.0	2.0	0.00	0.90
OG0000192	33	1.0	21	compare	shared	130.72727272727272	51.70737754481446	3	30	1.0	1.0	1.00	0.90
OG0000193	33	2.0	19	compare	specific	541.0909090909091	126.36415958034257	0	33	0.0	2.0	0.00	0.95
OG0000194	33	1.5	22	compare	shared	230.0	90.74306050769408	4	29	2.0	1.0	0.67	1.00
OG0000195	33	2.0	19	compare	specific	523.030303030303	18.67015905936829	0	33	0.0	2.0	0.00	0.95
OG0000196	33	1.0	23	compare	shared	639.6666666666666	64.09636053898407	3	30	1.0	1.0	1.00	1.00
OG0000197	33	1.0	23	compare	shared	349.3939393939394	93.64405185657839	3	30	1.0	1.0	1.00	1.00
OG0000198	33	2.0	18	compare	specific	307.93939393939394	53.6830989677776	0	33	0.0	2.0	0.00	0.90
OG0000199	33	2.0	17	compare	specific	743.030303030303	208.79125211683137	0	33	0.0	2.0	0.00	0.85
OG0000200	33	2.0	17	compare	specific	346.75757575757575	94.79740128871016	0	33	0.0	2.0	0.00	0.85
OG0000201	33	1.5	18	compare	specific	432.90909090909093	231.29770448314778	0	33	0.0	1.0	0.00	0.90
OG0000202	33	1.0	20	compare	specific	335.42424242424244	45.388578394443044	0	33	0.0	1.0	0.00	1.00
OG0000203	33	2.0	17	compare	specific	568.6666666666666	229.7075435321086	0	33	0.0	2.0	0.00	0.85
OG0000204	33	2.0	16	compare	specific	408.6363636363636	130.07429536249498	0	33	0.0	1.0	0.00	0.80
OG0000205	33	2.0	15	compare	specific	484.2121212121212	20.920857470922193	0	33	0.0	2.0	0.00	0.75
OG0000206	33	1.0	19	compare	specific	135.21212121212122	21.319727065962308	0	33	0.0	1.0	0.00	0.95
OG0000207	32	2.0	19	compare	specific	482.40625	98.24422991167216	0	32	0.0	2.0	0.00	0.95
OG0000208	32	2.5	14	compare	specific	309.78125	65.39148184922483	0	32	0.0	2.0	0.00	0.70
OG0000209	32	2.0	19	compare	shared	462.8125	90.2189827239811	3	29	1.0	1.5	1.00	0.80
OG0000210	32	1.0	23	compare	shared	266.25	52.82222543589015	3	29	1.0	1.0	1.00	1.00
OG0000211	32	2.0	17	compare	specific	458.21875	59.69701331253935	0	32	0.0	1.0	0.00	0.85
OG0000212	32	1.5	18	compare	specific	577.6875	60.8134635072695	0	32	0.0	1.0	0.00	0.90
OG0000213	32	2.0	18	compare	specific	141.28125	55.35805856817506	0	32	0.0	2.0	0.00	0.90
OG0000214	32	2.0	14	compare	shared	455.4375	95.37719116093743	1	31	0.0	1.0	0.33	0.65
OG0000215	32	1.0	16	compare	specific	368.8125	139.25099584473355	0	32	0.0	1.0	0.00	0.80
OG0000216	32	1.0	23	compare	shared	498.4375	35.55535956434698	3	29	1.0	1.0	1.00	1.00
OG0000217	32	2.0	17	compare	specific	296.21875	46.969893532320256	0	32	0.0	2.0	0.00	0.85
OG0000218	32	2.0	12	compare	specific	969.53125	495.6179844632734	0	32	0.0	1.0	0.00	0.60
OG0000219	32	1.0	17	compare	shared	479.34375	178.5134115015942	3	29	1.0	1.0	0.67	0.75
OG0000220	32	2.0	17	compare	specific	487.34375	114.1530248654739	0	32	0.0	2.0	0.00	0.85
OG0000221	32	2.0	16	compare	specific	466.5625	86.09658003515587	0	32	0.0	2.0	0.00	0.80
OG0000222	32	1.0	23	compare	shared	512.0625	7.976283203974142	3	29	1.0	1.0	1.00	1.00
OG0000223	32	2.0	15	compare	specific	780.84375	443.9883943707735	0	32	0.0	1.0	0.00	0.75
OG0000224	32	2.0	19	compare	specific	572.90625	214.38536554750536	0	32	0.0	2.0	0.00	0.95
OG0000225	31	1.0	22	compare	shared	509.4193548387097	212.53398577465484	4	27	1.0	1.0	1.00	0.95
OG0000226	31	2.0	20	compare	specific	689.4193548387096	248.8126350636673	0	31	0.0	2.0	0.00	1.00
OG0000227	31	2.0	19	compare	specific	415.93548387096774	84.50307705177062	0	31	0.0	2.0	0.00	0.95
OG0000228	31	2.0	19	compare	specific	401.2903225806452	172.10203154287942	0	31	0.0	2.0	0.00	0.95
OG0000229	31	1.0	17	compare	specific	465.258064516129	123.88000639066288	0	31	0.0	1.0	0.00	0.85
OG0000230	31	2.0	17	compare	specific	572.8064516129032	22.117602615868318	0	31	0.0	1.0	0.00	0.85
OG0000231	31	1.0	23	compare	shared	785.6129032258065	369.34228179810304	4	27	1.0	1.0	1.00	1.00
OG0000232	31	2.0	20	compare	specific	447.258064516129	96.22787730407157	0	31	0.0	2.0	0.00	1.00
OG0000233	31	2.0	16	compare	specific	210.3548387096774	44.455522090386296	0	31	0.0	1.0	0.00	0.80
OG0000234	31	2.0	20	compare	specific	322.61290322580646	97.8687987511374	0	31	0.0	2.0	0.00	1.00
OG0000235	31	1.0	23	compare	shared	835.3548387096774	372.5317521333646	3	28	1.0	1.0	1.00	1.00
OG0000236	31	2.0	16	compare	specific	438.7096774193548	57.606111654024545	0	31	0.0	2.0	0.00	0.80
OG0000237	31	1.0	14	compare	specific	186.67741935483872	52.25457973247598	0	31	0.0	1.0	0.00	0.70
OG0000238	31	2.0	17	compare	specific	469.5806451612903	72.15027963353066	0	31	0.0	2.0	0.00	0.85
OG0000239	31	1.0	23	compare	shared	760.7096774193549	481.63191631117365	5	26	2.0	1.0	1.00	1.00
OG0000240	31	2.0	17	compare	specific	774.4193548387096	165.02409876674776	0	31	0.0	2.0	0.00	0.85
OG0000241	31	1.0	23	compare	shared	474.3225806451613	91.0906627759024	3	28	1.0	1.0	1.00	1.00
OG0000242	31	1.0	23	compare	shared	402.19354838709677	28.34968208826554	9	22	3.0	1.0	1.00	1.00
OG0000243	30	2.0	16	compare	specific	546.0666666666667	76.17170661662298	0	30	0.0	2.0	0.00	0.80
OG0000244	30	1.0	19	compare	specific	263.3333333333333	95.5466145687829	0	30	0.0	1.0	0.00	0.95
OG0000245	30	1.0	22	compare	shared	652.3666666666667	38.92598389536509	6	24	2.0	1.0	1.00	0.95
OG0000246	30	1.0	19	compare	shared	570.0666666666667	80.13527451891721	14	16	5.0	1.0	1.00	0.80
OG0000247	30	1.0	20	compare	specific	562.0666666666667	85.93638474023805	0	30	0.0	1.0	0.00	1.00
OG0000248	30	2.0	18	compare	specific	561.8333333333334	129.00027993079016	0	30	0.0	2.0	0.00	0.90
