dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH125_e2	GH125:180	-	-	423	SdimorCBS55374predictedgene_007055-T1	608	1.1e-174	1	423	98	593	0.997635933806
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SdimorCBS55374predictedgene_008139-T1	355	4.4e-125	1	288	30	328	0.989655172414
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	SeuskaVPRI43754predictedgene_000615-T1	655	1.2e-200	1	482	121	618	0.997925311203
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan	431	SeuskaVPRI43754predictedgene_000858-T1	791	2.6e-208	1	430	263	703	0.99535962877
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SeuskaVPRI43754predictedgene_001328-T1	868	7.4e-107	1	214	49	262	0.995327102804
GH5_e137	GH5_5:216|CBM1:84|GH5:14|CBM10:2	3.2.1.4:38	beta-glucan	278	SeuskaVPRI43754predictedgene_003498-T1	343	5.9e-140	1	278	43	321	0.996402877698
GT71_e16	GT71:38	-	-	235	SeuskaVPRI43754predictedgene_004227-T1	512	1.4e-93	1	235	155	389	0.995744680851
GH92_e35	GH92:160	-	-	510	SeuskaVPRI43754predictedgene_004335-T1	900	2.5e-236	1	509	331	877	0.996078431373
GH3_e223	GH3:90|CBM1:15|CE16:3	3.2.1.21:16|3.2.1.-:3	beta-glucan, beta-glucan	207	SeuskaVPRI43754predictedgene_006365-T1	713	2.2e-109	2	207	74	279	0.990338164251
CE5_e49	CE5:6	-	-	192	SeuskaVPRI43754predictedgene_008473-T1	329	2.9e-42	15	191	73	274	0.916666666667
GT61_e19	GT61:14	-	-	120	SeuskaVPRI43754predictedgene_008888-T1	545	7.5e-40	1	117	325	446	0.966666666667
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SgloboCBS120340predictedgene_000355-T1	872	5.4e-107	1	210	86	298	0.995238095238
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	xylan, xylan, xylan	292	SgloboCBS120340predictedgene_001354-T1	586	9.1e-137	1	292	5	309	0.996575342466
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1	-	xylan	200	SgloboCBS120340predictedgene_001354-T1	586	2.4e-53	7	199	362	576	0.96
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SgloboCBS120340predictedgene_001738-T1	345	2.7e-129	1	288	30	318	0.989655172414
GH16_e200	GH16_18:28	-	-	156	SgloboCBS120340predictedgene_003388-T1	372	1.2e-72	1	155	70	225	0.987179487179
GH76_e44	GH76:127	3.2.1.101:2	alpha-mannan	363	SgloboCBS120340predictedgene_004065-T1	459	1.2e-176	1	359	30	397	0.986225895317
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SgloboCBS120340predictedgene_004221-T1	452	8e-129	12	351	77	417	0.965811965812
GH55_e8	GH55:191|CBM50:9|CBM66:1	3.2.1.58:16	beta-glucan	748	SgloboCBS120340predictedgene_004326-T1	780	0	4	748	22	779	0.994652406417
CBM67_e14	CBM67:7|GH78:7	-	rhamnose	186	SgloboCBS120340predictedgene_004513-T1	791	1.3e-22	2	88	17	123	0.462365591398
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	SgloboCBS120340predictedgene_004513-T1	791	7.5e-224	12	510	235	734	0.96138996139
AA9_e5	AA9:14|CBM18:11	-	cellulose	221	SgloboCBS120340predictedgene_004771-T1	397	1.8e-95	2	220	13	235	0.986425339367
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SgloboCBS120340predictedgene_005860-T1	429	2.3e-171	1	351	42	394	0.997150997151
AA3_e28	AA3_2:42|AA3:1	-	-	565	SgloboCBS120340predictedgene_006797-T1	578	2e-279	1	564	8	572	0.996460176991
GH47_e16	GH47:103	3.2.1.113:12	host glycan	465	SgloboCBS120340predictedgene_006989-T1	530	1.4e-221	1	464	48	525	0.995698924731
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SgloboCBS120340predictedgene_008451-T1	991	1.4e-108	2	210	179	392	0.990476190476
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	ShumicCBS118129predictedgene_000274-T1	498	5.1e-159	3	441	28	494	0.990950226244
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	ShumicCBS118129predictedgene_000937-T1	604	5.4e-167	1	474	54	562	0.997890295359
GH125_e2	GH125:180	-	-	423	ShumicCBS118129predictedgene_001963-T1	536	5.3e-187	1	423	80	521	0.997635933806
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	ShumicCBS118129predictedgene_002339-T1	344	2.9e-141	1	309	5	336	0.993548387097
GH28_e56	GH28:441|CE8:3	3.2.1.15:14|3.1.1.11:1	pectin	322	ShumicCBS118129predictedgene_003728-T1	370	6e-156	1	321	38	358	0.993788819876
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	ShumicCBS118129predictedgene_004504-T1	221	1.7e-93	1	207	23	220	0.990384615385
GH18_e82	GH18:18	3.2.1.96:4	host glycan	216	ShumicCBS118129predictedgene_005007-T1	419	5.5e-91	1	215	77	304	0.990740740741
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	ShumicCBS118129predictedgene_007995-T1	668	9.2e-27	10	181	200	377	0.410071942446
GH88_e4	GH88:37	-	-	401	ShumicCBS118129predictedgene_008478-T1	520	6.5e-161	1	401	102	511	0.997506234414
GH135_e25	GH135:7	-	-	228	ShumicCBS118129predictedgene_008657-T1	314	5.7e-30	1	169	21	202	0.736842105263
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SinflaCBS23968predictedgene_005513-T1	414	8.2e-179	7	397	8	403	0.882352941176
GH131_e4	GH131:11	-	-	258	SinflaCBS23968predictedgene_006197-T1	288	1.4e-126	1	258	26	284	0.996124031008
GT90_e11	GT90:72	-	-	290	SinflaCBS23968predictedgene_006266-T1	668	6.8e-119	1	290	347	654	0.996551724138
GH125_e2	GH125:180	-	-	423	SinflaCBS23968predictedgene_006566-T1	623	8.7e-173	1	423	103	608	0.997635933806
GT61_e19	GT61:14	-	-	120	SinflaCBS23968predictedgene_010386-T1	557	3.1e-37	1	116	332	455	0.958333333333
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SinflaCBS23968predictedgene_010422-T1	226	3.7e-90	1	206	28	224	0.985576923077
GH5_e56	GH5_24:29	-	-	314	SlurieCBS93772predictedgene_000003-T1	429	1.8e-168	1	312	77	391	0.990445859873
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SlurieCBS93772predictedgene_000407-T1	605	2.6e-168	1	474	55	563	0.997890295359
GH2_e61	GH2:894|CBM67:5|GH43_34:1|GH42:1	3.2.1.23:12	beta-galactan	827	SlurieCBS93772predictedgene_001153-T1	1107	5.2e-285	23	824	44	976	0.968561064087
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SlurieCBS93772predictedgene_001540-T1	349	6.4e-146	1	288	30	320	0.989655172414
GH18_e124	GH18:25	-	-	324	SlurieCBS93772predictedgene_002299-T1	363	1.9e-102	1	321	11	346	0.987654320988
CE8_e16	CE8:16|GH28:3	3.1.1.11:3|3.2.1.15:1	pectin	277	SlurieCBS93772predictedgene_002615-T1	740	8.7e-134	3	276	52	327	0.985559566787
GH28_e56	GH28:441|CE8:3	3.2.1.15:14|3.1.1.11:1	pectin	322	SlurieCBS93772predictedgene_002615-T1	740	1.3e-151	1	320	408	727	0.990683229814
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SlurieCBS93772predictedgene_003107-T1	870	1.2e-108	1	214	35	249	0.995327102804
GT31_e37	GT31:25	-	-	54	SlurieCBS93772predictedgene_004315-T1	459	2.1e-22	1	54	186	239	0.981481481481
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SlurieCBS93772predictedgene_005641-T1	695	2.8e-19	10	182	166	349	0.412470023981
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	SlurieCBS93772predictedgene_007638-T1	347	3.3e-134	19	350	1	331	0.940340909091
CE16_e2	CE16:12	-	-	278	SmexicCBS120341predictedgene_001384-T1	400	6.9e-110	1	278	59	362	0.996402877698
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SmexicCBS120341predictedgene_001799-T1	490	6.2e-180	2	442	44	483	0.995475113122
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SmexicCBS120341predictedgene_004033-T1	484	2.2e-138	1	417	41	480	0.997601918465
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	SmexicCBS120341predictedgene_004422-T1	892	2.7e-111	2	212	87	297	0.985915492958
AA1_e29	AA1:21	-	-	498	SmexicCBS120341predictedgene_006670-T1	679	2.6e-167	2	498	147	649	0.995983935743
GH154_e10	GH154:86	-	-	357	SmexicCBS120341predictedgene_007467-T1	675	2.3e-171	1	356	26	373	0.994397759104
AA2_e12	AA2:15	-	-	241	SmexicCBS120341predictedgene_007902-T1	453	1.7e-98	2	241	204	440	0.991701244813
AA1_e22	AA1:24	-	-	492	SmexicCBS120341predictedgene_008076-T1	768	1e-184	1	491	202	719	0.99593495935
GT69_e0	GT69:44	-	-	243	SmexicCBS120341predictedgene_008695-T1	431	6.4e-112	1	243	113	355	0.995884773663
CBM67_e14	CBM67:7|GH78:7	-	rhamnose	186	SmexicCBS120341predictedgene_009805-T1	891	3.7e-32	2	160	17	198	0.849462365591
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	SmexicCBS120341predictedgene_009805-T1	891	3.1e-224	12	514	304	804	0.969111969112
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SmexicCBS120341predictedgene_009905-T1	221	2.3e-92	1	206	23	219	0.985576923077
GH154_e10	GH154:86	-	-	357	SmexicCBS120341predictedgene_010458-T1	726	1.8e-156	1	357	15	404	0.997198879552
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SnigroVPRI43755predictedgene_001719-T1	540	9.4e-171	14	474	2	474	0.970464135021
AA4_e1	AA4:19	-	-	525	SnigroVPRI43755predictedgene_003187-T1	553	4.2e-16	12	252	83	318	0.457142857143
GT71_e16	GT71:38	-	-	235	SnigroVPRI43755predictedgene_003638-T1	564	8e-98	1	235	214	448	0.995744680851
AA3_e28	AA3_2:42|AA3:1	-	-	565	SnigroVPRI43755predictedgene_004628-T1	577	1.2e-278	1	564	7	571	0.996460176991
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan	431	SnigroVPRI43755predictedgene_004925-T1	790	2.6e-201	2	430	269	708	0.993039443155
GH3_e223	GH3:90|CBM1:15|CE16:3	3.2.1.21:16|3.2.1.-:3	beta-glucan, beta-glucan	207	SnigroVPRI43755predictedgene_004934-T1	735	1.3e-105	2	207	70	275	0.990338164251
GH131_e4	GH131:11	-	-	258	SnigroVPRI43755predictedgene_004937-T1	283	8.5e-119	1	258	26	279	0.996124031008
GH5_e137	GH5_5:216|CBM1:84|GH5:14|CBM10:2	3.2.1.4:38	beta-glucan	278	SnigroVPRI43755predictedgene_005309-T1	335	9e-131	1	278	35	313	0.996402877698
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SnigroVPRI43755predictedgene_007117-T1	673	1.3e-27	9	181	204	382	0.412470023981
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	xylan, xylan, xylan	292	SpalliCBS13156predictedgene_002006-T1	586	1.7e-139	1	292	5	309	0.996575342466
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1	-	xylan	200	SpalliCBS13156predictedgene_002006-T1	586	3.3e-54	7	199	362	576	0.96
GH55_e8	GH55:191|CBM50:9|CBM66:1	3.2.1.58:16	beta-glucan	748	SpalliCBS13156predictedgene_003486-T1	779	0	4	748	22	778	0.994652406417
GH135_e25	GH135:7	-	-	228	SpalliCBS13156predictedgene_004090-T1	314	2.7e-30	1	169	21	202	0.736842105263
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SpalliCBS13156predictedgene_004382-T1	861	2.9e-101	9	210	83	287	0.957142857143
GT61_e19	GT61:14	-	-	120	SpalliCBS13156predictedgene_004862-T1	559	2e-42	1	117	328	449	0.966666666667
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SpalliCBS13156predictedgene_004913-T1	468	3.9e-103	2	416	30	466	0.93665158371
GH76_e44	GH76:127	3.2.1.101:2	alpha-mannan	363	SpalliCBS13156predictedgene_005354-T1	459	7e-178	1	360	30	398	0.988980716253
GH92_e35	GH92:160	-	-	510	SpalliCBS13156predictedgene_005745-T1	1180	5.7e-234	1	509	327	876	0.996078431373
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	SpalliCBS13156predictedgene_006137-T1	648	1.7e-200	1	482	121	615	0.997925311203
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SpalliCBS13156predictedgene_006339-T1	431	9.1e-173	1	351	44	396	0.997150997151
GH47_e16	GH47:103	3.2.1.113:12	host glycan	465	SpalliCBS13156predictedgene_006666-T1	538	1.7e-219	1	464	58	533	0.995698924731
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SpalliCBS13156predictedgene_007138-T1	1002	1.9e-108	2	210	184	397	0.990476190476
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	SpalliCBS13156predictedgene_007243-T1	343	2.7e-141	1	309	5	336	0.993548387097
AA9_e5	AA9:14|CBM18:11	-	cellulose	221	SpalliCBS13156predictedgene_007329-T1	393	1.2e-96	2	220	11	232	0.986425339367
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SpalliCBS13156predictedgene_008797-T1	351	3.5e-140	1	288	29	321	0.989655172414
CE8_e105	CE8:21	3.1.1.11:8	pectin	281	SpalliCBS13156predictedgene_009351-T1	294	1.3e-129	11	280	5	272	0.957295373665
GH16_e200	GH16_18:28	-	-	156	SphasmCBS119721predictedgene_000435-T1	380	1.5e-70	1	156	70	226	0.99358974359
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SphasmCBS119721predictedgene_002880-T1	221	2.8e-93	1	206	23	219	0.985576923077
GH125_e2	GH125:180	-	-	423	SphasmCBS119721predictedgene_005285-T1	535	4.3e-187	1	423	79	520	0.997635933806
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SphasmCBS119721predictedgene_007134-T1	454	2.9e-131	1	351	78	421	0.997150997151
GH125_e2	GH125:180	-	-	423	SproteCBS116654predictedgene_002151-T1	608	7.8e-47	1	153	96	263	0.359338061466
GH125_e2	GH125:180	-	-	423	SproteCBS116654predictedgene_002151-T1	608	5.6e-114	144	423	280	593	0.659574468085
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SproteCBS116654predictedgene_002334-T1	652	1e-23	4	167	196	365	0.390887290168
GH88_e4	GH88:37	-	-	401	SproteCBS116654predictedgene_003982-T1	506	1.7e-160	1	401	98	497	0.997506234414
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SproteCBS116654predictedgene_004276-T1	836	1.9e-79	1	214	48	237	0.995327102804
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SproteCBS116654predictedgene_005717-T1	596	7.1e-150	1	474	61	533	0.997890295359
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SproteCBS116654predictedgene_006802-T1	438	2.4e-68	150	347	162	358	0.445701357466
GH18_e82	GH18:18	3.2.1.96:4	host glycan	216	SproteCBS116654predictedgene_006925-T1	419	1.7e-88	1	215	76	311	0.990740740741
GT90_e11	GT90:72	-	-	290	SproteCBS116654predictedgene_008464-T1	675	2.3e-120	1	290	355	661	0.996551724138
GH2_e61	GH2:894|CBM67:5|GH43_34:1|GH42:1	3.2.1.23:12	beta-galactan	827	SpseudVPRI43531predictedgene_003731-T1	1092	5.7e-286	17	824	35	966	0.975816203144
GH106_e15	GH106:19|GT2:1	-	-	933	SpseudVPRI43531predictedgene_004573-T1	1043	1.9e-261	1	931	50	985	0.996784565916
CE8_e16	CE8:16|GH28:3	3.1.1.11:3|3.2.1.15:1	pectin	277	SpseudVPRI43531predictedgene_005216-T1	438	4.9e-58	2	132	11	141	0.469314079422
GH28_e56	GH28:441|CE8:3	3.2.1.15:14|3.1.1.11:1	pectin	322	SpseudVPRI43531predictedgene_005216-T1	438	1.3e-118	26	321	136	426	0.916149068323
GH5_e56	GH5_24:29	-	-	314	SpseudVPRI43531predictedgene_005448-T1	428	1.6e-168	1	313	77	392	0.993630573248
CBM67_e14	CBM67:7|GH78:7	-	rhamnose	186	SpseudVPRI43531predictedgene_005835-T1	1371	4e-32	34	165	75	205	0.704301075269
