NODE_1_length_651419_cov_79.581183	SEPCBS119000_NODE1
NODE_65_length_128344_cov_80.389005	SEPCBS119000_NODE65
NODE_66_length_124863_cov_78.801052	SEPCBS119000_NODE66
NODE_67_length_122760_cov_80.853310	SEPCBS119000_NODE67
NODE_68_length_120735_cov_79.702093	SEPCBS119000_NODE68
NODE_69_length_119374_cov_80.721620	SEPCBS119000_NODE69
NODE_70_length_118539_cov_78.318523	SEPCBS119000_NODE70
NODE_71_length_117855_cov_79.624490	SEPCBS119000_NODE71
NODE_72_length_116074_cov_79.600843	SEPCBS119000_NODE72
NODE_73_length_115367_cov_81.649766	SEPCBS119000_NODE73
NODE_74_length_114185_cov_79.643576	SEPCBS119000_NODE74
NODE_75_length_112328_cov_83.444292	SEPCBS119000_NODE75
NODE_76_length_111755_cov_81.446904	SEPCBS119000_NODE76
NODE_77_length_111096_cov_81.401680	SEPCBS119000_NODE77
NODE_78_length_110034_cov_79.726305	SEPCBS119000_NODE78
NODE_79_length_107608_cov_80.196509	SEPCBS119000_NODE79
NODE_80_length_106986_cov_80.594793	SEPCBS119000_NODE80
NODE_81_length_106371_cov_77.614218	SEPCBS119000_NODE81
NODE_82_length_104679_cov_79.584618	SEPCBS119000_NODE82
NODE_83_length_100022_cov_79.562150	SEPCBS119000_NODE83
NODE_84_length_99766_cov_80.747077	SEPCBS119000_NODE84
NODE_85_length_98914_cov_84.733416	SEPCBS119000_NODE85
NODE_86_length_98217_cov_80.173127	SEPCBS119000_NODE86
NODE_87_length_98077_cov_79.149515	SEPCBS119000_NODE87
NODE_88_length_96689_cov_79.633831	SEPCBS119000_NODE88
NODE_89_length_93610_cov_79.093632	SEPCBS119000_NODE89
NODE_90_length_92961_cov_79.403139	SEPCBS119000_NODE90
NODE_91_length_89915_cov_81.498307	SEPCBS119000_NODE91
NODE_92_length_88731_cov_79.174067	SEPCBS119000_NODE92
NODE_93_length_88572_cov_80.039233	SEPCBS119000_NODE93
NODE_94_length_87303_cov_78.174968	SEPCBS119000_NODE94
NODE_95_length_84275_cov_82.625113	SEPCBS119000_NODE95
NODE_96_length_83840_cov_81.024058	SEPCBS119000_NODE96
NODE_97_length_83404_cov_84.696147	SEPCBS119000_NODE97
NODE_98_length_83211_cov_80.200039	SEPCBS119000_NODE98
NODE_99_length_81971_cov_80.662883	SEPCBS119000_NODE99
NODE_100_length_79677_cov_79.246373	SEPCBS119000_NODE100
NODE_101_length_78481_cov_80.706703	SEPCBS119000_NODE101
NODE_102_length_76712_cov_80.637096	SEPCBS119000_NODE102
NODE_103_length_76480_cov_81.319031	SEPCBS119000_NODE103
NODE_104_length_75718_cov_80.378987	SEPCBS119000_NODE104
NODE_105_length_74748_cov_81.420833	SEPCBS119000_NODE105
NODE_106_length_72811_cov_80.094175	SEPCBS119000_NODE106
NODE_107_length_72521_cov_78.937191	SEPCBS119000_NODE107
NODE_108_length_72019_cov_79.696183	SEPCBS119000_NODE108
NODE_109_length_70834_cov_79.458427	SEPCBS119000_NODE109
NODE_110_length_70717_cov_79.538377	SEPCBS119000_NODE110
NODE_111_length_68906_cov_79.867198	SEPCBS119000_NODE111
NODE_112_length_68541_cov_80.429123	SEPCBS119000_NODE112
NODE_113_length_67980_cov_82.263820	SEPCBS119000_NODE113
NODE_114_length_67903_cov_81.732383	SEPCBS119000_NODE114
NODE_115_length_67629_cov_85.070057	SEPCBS119000_NODE115
NODE_116_length_66854_cov_80.025462	SEPCBS119000_NODE116
NODE_117_length_66506_cov_80.428238	SEPCBS119000_NODE117
NODE_118_length_65301_cov_78.601498	SEPCBS119000_NODE118
NODE_119_length_62653_cov_79.927630	SEPCBS119000_NODE119
NODE_120_length_62578_cov_80.939985	SEPCBS119000_NODE120
NODE_121_length_61352_cov_81.381364	SEPCBS119000_NODE121
NODE_122_length_61029_cov_79.797445	SEPCBS119000_NODE122
NODE_123_length_60531_cov_82.710466	SEPCBS119000_NODE123
NODE_124_length_59405_cov_81.108101	SEPCBS119000_NODE124
NODE_125_length_57525_cov_85.639047	SEPCBS119000_NODE125
NODE_126_length_55305_cov_80.675632	SEPCBS119000_NODE126
NODE_127_length_54920_cov_80.181045	SEPCBS119000_NODE127
NODE_128_length_54758_cov_80.464260	SEPCBS119000_NODE128
NODE_129_length_54447_cov_78.595287	SEPCBS119000_NODE129
NODE_130_length_54400_cov_80.602602	SEPCBS119000_NODE130
NODE_131_length_54172_cov_80.050310	SEPCBS119000_NODE131
NODE_132_length_53777_cov_77.501286	SEPCBS119000_NODE132
NODE_133_length_52985_cov_82.792974	SEPCBS119000_NODE133
NODE_134_length_52530_cov_82.194340	SEPCBS119000_NODE134
NODE_135_length_52226_cov_80.315188	SEPCBS119000_NODE135
NODE_136_length_50621_cov_84.201786	SEPCBS119000_NODE136
NODE_137_length_49290_cov_82.291317	SEPCBS119000_NODE137
NODE_138_length_49012_cov_79.338263	SEPCBS119000_NODE138
NODE_139_length_48631_cov_87.862671	SEPCBS119000_NODE139
NODE_140_length_47255_cov_79.942158	SEPCBS119000_NODE140
NODE_141_length_47143_cov_80.538349	SEPCBS119000_NODE141
NODE_142_length_46951_cov_79.080792	SEPCBS119000_NODE142
NODE_143_length_45092_cov_79.165418	SEPCBS119000_NODE143
NODE_144_length_44146_cov_76.802176	SEPCBS119000_NODE144
NODE_145_length_43230_cov_85.062339	SEPCBS119000_NODE145
NODE_146_length_43061_cov_80.742791	SEPCBS119000_NODE146
NODE_147_length_42817_cov_78.163130	SEPCBS119000_NODE147
NODE_148_length_42782_cov_81.244028	SEPCBS119000_NODE148
NODE_149_length_41846_cov_80.590882	SEPCBS119000_NODE149
NODE_150_length_40430_cov_79.922636	SEPCBS119000_NODE150
NODE_151_length_40122_cov_81.985448	SEPCBS119000_NODE151
NODE_152_length_37937_cov_79.359561	SEPCBS119000_NODE152
NODE_153_length_37776_cov_79.570825	SEPCBS119000_NODE153
NODE_154_length_37436_cov_83.044627	SEPCBS119000_NODE154
NODE_155_length_36749_cov_80.527224	SEPCBS119000_NODE155
NODE_156_length_36355_cov_76.337998	SEPCBS119000_NODE156
NODE_157_length_36010_cov_85.545105	SEPCBS119000_NODE157
NODE_158_length_35484_cov_79.051390	SEPCBS119000_NODE158
NODE_159_length_35355_cov_86.864057	SEPCBS119000_NODE159
NODE_160_length_35220_cov_84.904026	SEPCBS119000_NODE160
NODE_161_length_35099_cov_76.804872	SEPCBS119000_NODE161
NODE_162_length_34519_cov_78.581589	SEPCBS119000_NODE162
NODE_163_length_34048_cov_80.748062	SEPCBS119000_NODE163
NODE_164_length_32834_cov_81.486348	SEPCBS119000_NODE164
NODE_165_length_32178_cov_78.884497	SEPCBS119000_NODE165
NODE_166_length_31780_cov_80.810318	SEPCBS119000_NODE166
NODE_167_length_31541_cov_84.641879	SEPCBS119000_NODE167
NODE_168_length_31174_cov_79.365671	SEPCBS119000_NODE168
NODE_169_length_31114_cov_80.547197	SEPCBS119000_NODE169
NODE_170_length_30826_cov_77.747516	SEPCBS119000_NODE170
NODE_171_length_30709_cov_92.130534	SEPCBS119000_NODE171
NODE_172_length_30403_cov_80.731570	SEPCBS119000_NODE172
NODE_173_length_30184_cov_81.894268	SEPCBS119000_NODE173
NODE_174_length_30027_cov_79.055518	SEPCBS119000_NODE174
NODE_175_length_29487_cov_82.028849	SEPCBS119000_NODE175
NODE_176_length_29385_cov_80.060360	SEPCBS119000_NODE176
NODE_177_length_29192_cov_84.897402	SEPCBS119000_NODE177
NODE_178_length_28171_cov_78.116531	SEPCBS119000_NODE178
NODE_179_length_28091_cov_80.877092	SEPCBS119000_NODE179
NODE_180_length_27740_cov_85.223844	SEPCBS119000_NODE180
NODE_181_length_26577_cov_81.578072	SEPCBS119000_NODE181
NODE_182_length_25786_cov_1735.766047	SEPCBS119000_NODE182
NODE_183_length_23808_cov_78.662599	SEPCBS119000_NODE183
NODE_184_length_23067_cov_77.780122	SEPCBS119000_NODE184
NODE_185_length_22807_cov_86.018034	SEPCBS119000_NODE185
NODE_186_length_22568_cov_80.513257	SEPCBS119000_NODE186
NODE_187_length_21311_cov_83.224887	SEPCBS119000_NODE187
NODE_188_length_21075_cov_82.298787	SEPCBS119000_NODE188
NODE_189_length_20215_cov_86.668757	SEPCBS119000_NODE189
NODE_190_length_20019_cov_79.096521	SEPCBS119000_NODE190
NODE_191_length_19553_cov_80.582930	SEPCBS119000_NODE191
NODE_192_length_17306_cov_80.851796	SEPCBS119000_NODE192
NODE_193_length_17285_cov_84.450810	SEPCBS119000_NODE193
NODE_194_length_16835_cov_80.940807	SEPCBS119000_NODE194
NODE_195_length_16722_cov_80.220488	SEPCBS119000_NODE195
NODE_196_length_16685_cov_79.172545	SEPCBS119000_NODE196
NODE_197_length_16401_cov_79.746528	SEPCBS119000_NODE197
NODE_198_length_16098_cov_80.247949	SEPCBS119000_NODE198
NODE_199_length_15473_cov_78.245536	SEPCBS119000_NODE199
NODE_200_length_15367_cov_79.865420	SEPCBS119000_NODE200
NODE_201_length_15306_cov_80.578958	SEPCBS119000_NODE201
NODE_202_length_15136_cov_77.472050	SEPCBS119000_NODE202
NODE_203_length_15048_cov_80.712419	SEPCBS119000_NODE203
NODE_204_length_14993_cov_76.494753	SEPCBS119000_NODE204
NODE_205_length_14496_cov_80.481314	SEPCBS119000_NODE205
NODE_206_length_14405_cov_80.460709	SEPCBS119000_NODE206
NODE_207_length_13807_cov_79.674415	SEPCBS119000_NODE207
NODE_208_length_13626_cov_77.876435	SEPCBS119000_NODE208
NODE_209_length_13539_cov_78.432001	SEPCBS119000_NODE209
NODE_210_length_13492_cov_81.374486	SEPCBS119000_NODE210
NODE_211_length_13316_cov_85.622640	SEPCBS119000_NODE211
NODE_212_length_13271_cov_81.597611	SEPCBS119000_NODE212
NODE_213_length_13165_cov_79.600399	SEPCBS119000_NODE213
NODE_214_length_13076_cov_79.716812	SEPCBS119000_NODE214
NODE_215_length_13073_cov_85.440368	SEPCBS119000_NODE215
NODE_216_length_12203_cov_78.173236	SEPCBS119000_NODE216
NODE_217_length_12011_cov_97.162656	SEPCBS119000_NODE217
NODE_218_length_11746_cov_85.453223	SEPCBS119000_NODE218
NODE_219_length_10679_cov_82.099981	SEPCBS119000_NODE219
NODE_220_length_10657_cov_91.948528	SEPCBS119000_NODE220
NODE_221_length_10530_cov_85.850908	SEPCBS119000_NODE221
NODE_222_length_10208_cov_79.740502	SEPCBS119000_NODE222
NODE_223_length_8683_cov_81.430575	SEPCBS119000_NODE223
NODE_224_length_8652_cov_1405.055718	SEPCBS119000_NODE224
NODE_225_length_8630_cov_88.502411	SEPCBS119000_NODE225
NODE_226_length_8594_cov_75.926420	SEPCBS119000_NODE226
NODE_227_length_8322_cov_137.834411	SEPCBS119000_NODE227
NODE_228_length_7691_cov_78.427948	SEPCBS119000_NODE228
NODE_229_length_7229_cov_81.511828	SEPCBS119000_NODE229
NODE_230_length_7205_cov_77.854337	SEPCBS119000_NODE230
NODE_231_length_7144_cov_81.369674	SEPCBS119000_NODE231
NODE_232_length_7107_cov_98.317765	SEPCBS119000_NODE232
NODE_233_length_7024_cov_81.826156	SEPCBS119000_NODE233
NODE_234_length_6983_cov_77.888711	SEPCBS119000_NODE234
NODE_235_length_6670_cov_84.700902	SEPCBS119000_NODE235
NODE_236_length_6650_cov_80.309214	SEPCBS119000_NODE236
NODE_237_length_6605_cov_86.915869	SEPCBS119000_NODE237
NODE_238_length_6505_cov_82.415334	SEPCBS119000_NODE238
NODE_239_length_6463_cov_79.348327	SEPCBS119000_NODE239
NODE_240_length_6328_cov_64.102887	SEPCBS119000_NODE240
NODE_241_length_5867_cov_217.414808	SEPCBS119000_NODE241
NODE_242_length_5854_cov_79.392352	SEPCBS119000_NODE242
NODE_243_length_5638_cov_154.279260	SEPCBS119000_NODE243
NODE_244_length_5590_cov_240.371408	SEPCBS119000_NODE244
NODE_245_length_5541_cov_78.169745	SEPCBS119000_NODE245
NODE_246_length_5499_cov_86.391474	SEPCBS119000_NODE246
NODE_247_length_5496_cov_82.319985	SEPCBS119000_NODE247
NODE_248_length_5347_cov_299.258429	SEPCBS119000_NODE248
NODE_249_length_5279_cov_85.252911	SEPCBS119000_NODE249
NODE_250_length_5146_cov_108.096234	SEPCBS119000_NODE250
NODE_251_length_5041_cov_87.986162	SEPCBS119000_NODE251
NODE_252_length_4998_cov_99.370150	SEPCBS119000_NODE252
NODE_253_length_4761_cov_156.599050	SEPCBS119000_NODE253
NODE_254_length_4725_cov_268.370161	SEPCBS119000_NODE254
NODE_255_length_4694_cov_78.479308	SEPCBS119000_NODE255
NODE_256_length_4687_cov_77.943860	SEPCBS119000_NODE256
NODE_257_length_4665_cov_81.343280	SEPCBS119000_NODE257
NODE_258_length_4647_cov_110.004867	SEPCBS119000_NODE258
NODE_259_length_4487_cov_75.629822	SEPCBS119000_NODE259
NODE_260_length_4361_cov_87.808928	SEPCBS119000_NODE260
NODE_261_length_4358_cov_74.758450	SEPCBS119000_NODE261
NODE_262_length_4273_cov_82.992041	SEPCBS119000_NODE262
NODE_263_length_4260_cov_77.308735	SEPCBS119000_NODE263
NODE_264_length_4231_cov_133.298733	SEPCBS119000_NODE264
NODE_265_length_3982_cov_75.460700	SEPCBS119000_NODE265
NODE_266_length_3975_cov_78.995842	SEPCBS119000_NODE266
NODE_267_length_3955_cov_75.183908	SEPCBS119000_NODE267
NODE_268_length_3900_cov_79.053390	SEPCBS119000_NODE268
NODE_269_length_3810_cov_97.964431	SEPCBS119000_NODE269
NODE_270_length_3784_cov_165.263057	SEPCBS119000_NODE270
NODE_271_length_3710_cov_176.239464	SEPCBS119000_NODE271
NODE_272_length_3518_cov_155.917428	SEPCBS119000_NODE272
NODE_273_length_3490_cov_221.794529	SEPCBS119000_NODE273
NODE_274_length_3490_cov_219.892358	SEPCBS119000_NODE274
NODE_275_length_3409_cov_261.594759	SEPCBS119000_NODE275
NODE_276_length_3402_cov_76.216183	SEPCBS119000_NODE276
NODE_277_length_3390_cov_233.186945	SEPCBS119000_NODE277
NODE_278_length_3294_cov_239.720556	SEPCBS119000_NODE278
NODE_279_length_3285_cov_155.249208	SEPCBS119000_NODE279
NODE_280_length_3240_cov_160.156762	SEPCBS119000_NODE280
NODE_281_length_3224_cov_160.578302	SEPCBS119000_NODE281
NODE_282_length_3179_cov_157.208716	SEPCBS119000_NODE282
NODE_283_length_3132_cov_79.485524	SEPCBS119000_NODE283
NODE_284_length_3116_cov_141.207093	SEPCBS119000_NODE284
NODE_285_length_3099_cov_126.416891	SEPCBS119000_NODE285
NODE_286_length_3094_cov_158.643748	SEPCBS119000_NODE286
NODE_287_length_3085_cov_158.850237	SEPCBS119000_NODE287
NODE_288_length_3079_cov_341.649051	SEPCBS119000_NODE288
NODE_289_length_3057_cov_179.644369	SEPCBS119000_NODE289
NODE_290_length_2959_cov_157.109463	SEPCBS119000_NODE290
NODE_291_length_2949_cov_149.462438	SEPCBS119000_NODE291
NODE_292_length_2939_cov_3562.375178	SEPCBS119000_NODE292
NODE_293_length_2933_cov_78.570563	SEPCBS119000_NODE293
NODE_294_length_2907_cov_247.963669	SEPCBS119000_NODE294
NODE_295_length_2796_cov_92.453728	SEPCBS119000_NODE295
NODE_296_length_2763_cov_86.149090	SEPCBS119000_NODE296
NODE_297_length_2735_cov_161.777224	SEPCBS119000_NODE297
NODE_298_length_2697_cov_125.433852	SEPCBS119000_NODE298
NODE_299_length_2661_cov_163.820047	SEPCBS119000_NODE299
NODE_300_length_2608_cov_142.794841	SEPCBS119000_NODE300
NODE_301_length_2604_cov_164.248284	SEPCBS119000_NODE301
NODE_302_length_2590_cov_167.721884	SEPCBS119000_NODE302
NODE_303_length_2515_cov_224.509213	SEPCBS119000_NODE303
NODE_304_length_2488_cov_147.662431	SEPCBS119000_NODE304
NODE_305_length_2460_cov_406.493785	SEPCBS119000_NODE305
NODE_306_length_2459_cov_306.034305	SEPCBS119000_NODE306
NODE_307_length_2428_cov_3150.079096	SEPCBS119000_NODE307
NODE_308_length_2410_cov_153.881735	SEPCBS119000_NODE308
NODE_309_length_2348_cov_98.786583	SEPCBS119000_NODE309
NODE_310_length_2343_cov_81.324458	SEPCBS119000_NODE310
NODE_311_length_2328_cov_149.318492	SEPCBS119000_NODE311
NODE_312_length_2304_cov_77.852549	SEPCBS119000_NODE312
NODE_313_length_2291_cov_111.304529	SEPCBS119000_NODE313
NODE_314_length_2243_cov_83.502363	SEPCBS119000_NODE314
NODE_315_length_2237_cov_366.665403	SEPCBS119000_NODE315
NODE_316_length_2222_cov_103.939379	SEPCBS119000_NODE316
NODE_317_length_2185_cov_76.222546	SEPCBS119000_NODE317
NODE_318_length_2172_cov_80.782396	SEPCBS119000_NODE318
NODE_319_length_2153_cov_167.259131	SEPCBS119000_NODE319
NODE_320_length_2144_cov_229.179474	SEPCBS119000_NODE320
NODE_321_length_2109_cov_158.614026	SEPCBS119000_NODE321
NODE_322_length_2107_cov_96.523232	SEPCBS119000_NODE322
NODE_323_length_2088_cov_79.115757	SEPCBS119000_NODE323
NODE_324_length_2078_cov_338.268068	SEPCBS119000_NODE324
NODE_325_length_2054_cov_739.434354	SEPCBS119000_NODE325
NODE_326_length_2049_cov_68.686264	SEPCBS119000_NODE326
NODE_327_length_1978_cov_159.480821	SEPCBS119000_NODE327
NODE_328_length_1938_cov_207.874655	SEPCBS119000_NODE328
NODE_329_length_1913_cov_184.662374	SEPCBS119000_NODE329
NODE_330_length_1905_cov_77.097863	SEPCBS119000_NODE330
NODE_331_length_1904_cov_194.186269	SEPCBS119000_NODE331
NODE_332_length_1876_cov_152.701544	SEPCBS119000_NODE332
NODE_333_length_1852_cov_74.505507	SEPCBS119000_NODE333
NODE_334_length_1846_cov_515.902269	SEPCBS119000_NODE334
NODE_335_length_1826_cov_164.380812	SEPCBS119000_NODE335
NODE_336_length_1771_cov_302.165450	SEPCBS119000_NODE336
NODE_337_length_1761_cov_301.982252	SEPCBS119000_NODE337
NODE_338_length_1748_cov_223.558914	SEPCBS119000_NODE338
NODE_339_length_1727_cov_153.156250	SEPCBS119000_NODE339
NODE_340_length_1720_cov_186.092279	SEPCBS119000_NODE340
NODE_341_length_1709_cov_74.090392	SEPCBS119000_NODE341
NODE_342_length_1694_cov_228.845565	SEPCBS119000_NODE342
NODE_343_length_1672_cov_80.609061	SEPCBS119000_NODE343
NODE_344_length_1653_cov_303.042595	SEPCBS119000_NODE344
NODE_345_length_1603_cov_145.943767	SEPCBS119000_NODE345
NODE_346_length_1598_cov_235.177430	SEPCBS119000_NODE346
NODE_347_length_1573_cov_79.250346	SEPCBS119000_NODE347
NODE_348_length_1546_cov_251.007752	SEPCBS119000_NODE348
NODE_349_length_1514_cov_159.635905	SEPCBS119000_NODE349
NODE_350_length_1500_cov_77.083758	SEPCBS119000_NODE350
NODE_351_length_1465_cov_347.236173	SEPCBS119000_NODE351
NODE_352_length_1453_cov_446.251885	SEPCBS119000_NODE352
NODE_353_length_1449_cov_266.844932	SEPCBS119000_NODE353
NODE_354_length_1448_cov_98.743376	SEPCBS119000_NODE354
NODE_355_length_1434_cov_294.081867	SEPCBS119000_NODE355
NODE_356_length_1393_cov_152.943918	SEPCBS119000_NODE356
NODE_357_length_1392_cov_169.628458	SEPCBS119000_NODE357
NODE_358_length_1392_cov_84.109881	SEPCBS119000_NODE358
NODE_359_length_1363_cov_210.368123	SEPCBS119000_NODE359
NODE_360_length_1344_cov_71.607231	SEPCBS119000_NODE360
NODE_361_length_1342_cov_509.826337	SEPCBS119000_NODE361
NODE_362_length_1336_cov_278.938792	SEPCBS119000_NODE362
NODE_363_length_1321_cov_148.521776	SEPCBS119000_NODE363
NODE_364_length_1307_cov_99.222034	SEPCBS119000_NODE364
NODE_365_length_1305_cov_272.279287	SEPCBS119000_NODE365
NODE_366_length_1301_cov_253.281090	SEPCBS119000_NODE366
NODE_367_length_1297_cov_156.434188	SEPCBS119000_NODE367
NODE_368_length_1295_cov_157.327055	SEPCBS119000_NODE368
NODE_369_length_1288_cov_70.923342	SEPCBS119000_NODE369
NODE_370_length_1266_cov_79.392450	SEPCBS119000_NODE370
NODE_371_length_1262_cov_112.583260	SEPCBS119000_NODE371
NODE_372_length_1249_cov_75.271836	SEPCBS119000_NODE372
NODE_373_length_1205_cov_290.831169	SEPCBS119000_NODE373
NODE_374_length_1204_cov_62.901578	SEPCBS119000_NODE374
NODE_375_length_1177_cov_79.580000	SEPCBS119000_NODE375
NODE_376_length_1165_cov_102.648362	SEPCBS119000_NODE376
NODE_377_length_1163_cov_373.961390	SEPCBS119000_NODE377
NODE_378_length_1160_cov_452.101646	SEPCBS119000_NODE378
NODE_379_length_1160_cov_154.313650	SEPCBS119000_NODE379
NODE_380_length_1149_cov_177.584149	SEPCBS119000_NODE380
NODE_381_length_1143_cov_207.465551	SEPCBS119000_NODE381
NODE_382_length_1140_cov_413.984205	SEPCBS119000_NODE382
NODE_383_length_1139_cov_153.077075	SEPCBS119000_NODE383
NODE_384_length_1130_cov_156.846461	SEPCBS119000_NODE384
NODE_385_length_1113_cov_201.748479	SEPCBS119000_NODE385
NODE_386_length_1079_cov_406.417017	SEPCBS119000_NODE386
NODE_387_length_1076_cov_289.502634	SEPCBS119000_NODE387
NODE_388_length_1048_cov_45.913138	SEPCBS119000_NODE388
NODE_389_length_1046_cov_383.480958	SEPCBS119000_NODE389
NODE_390_length_1046_cov_147.413493	SEPCBS119000_NODE390
NODE_391_length_1046_cov_92.929271	SEPCBS119000_NODE391
NODE_392_length_1038_cov_320.291987	SEPCBS119000_NODE392
NODE_393_length_1029_cov_564.039911	SEPCBS119000_NODE393
NODE_394_length_1029_cov_379.023282	SEPCBS119000_NODE394
NODE_395_length_1026_cov_205.825362	SEPCBS119000_NODE395
NODE_396_length_1003_cov_320.480594	SEPCBS119000_NODE396
NODE_397_length_1002_cov_288.502857	SEPCBS119000_NODE397
NODE_398_length_1002_cov_94.541714	SEPCBS119000_NODE398
NODE_399_length_991_cov_77.125000	SEPCBS119000_NODE399
NODE_400_length_987_cov_319.355814	SEPCBS119000_NODE400
NODE_401_length_982_cov_94.269006	SEPCBS119000_NODE401
NODE_402_length_979_cov_165.464789	SEPCBS119000_NODE402
NODE_403_length_975_cov_68.840802	SEPCBS119000_NODE403
NODE_404_length_960_cov_297.894358	SEPCBS119000_NODE404
NODE_405_length_952_cov_525.214545	SEPCBS119000_NODE405
NODE_406_length_952_cov_320.055758	SEPCBS119000_NODE406
NODE_407_length_948_cov_1.170524	SEPCBS119000_NODE407
NODE_408_length_946_cov_299.720391	SEPCBS119000_NODE408
NODE_409_length_945_cov_148.239609	SEPCBS119000_NODE409
NODE_410_length_941_cov_339.078624	SEPCBS119000_NODE410
NODE_411_length_941_cov_254.852580	SEPCBS119000_NODE411
NODE_412_length_936_cov_71.725587	SEPCBS119000_NODE412
NODE_413_length_930_cov_65.180573	SEPCBS119000_NODE413
NODE_414_length_916_cov_193.880862	SEPCBS119000_NODE414
NODE_415_length_906_cov_456.580231	SEPCBS119000_NODE415
NODE_416_length_896_cov_2.485046	SEPCBS119000_NODE416
NODE_417_length_886_cov_600.598155	SEPCBS119000_NODE417
NODE_418_length_886_cov_156.888011	SEPCBS119000_NODE418
NODE_419_length_886_cov_69.567852	SEPCBS119000_NODE419
NODE_420_length_874_cov_410.362784	SEPCBS119000_NODE420
NODE_421_length_870_cov_633.417227	SEPCBS119000_NODE421
NODE_422_length_866_cov_157.825440	SEPCBS119000_NODE422
NODE_423_length_863_cov_84.004076	SEPCBS119000_NODE423
