Reference	Lopez-Mondejar_general_activity	General_Activity	origin	CAZyme_families	Main activity in the family/subfamily		Supplementary Table S3. The CAZyme families/subfamilies were grouped according the main enzymatic activities characterized in the family/subfamily into 14 different classes or general activities.
		Beta-glucanases	a-fungal	GH16_1	"[retaining] _-1,3-glucanosyltransglucosidase (EC 2.4.1.-);hyaluronidase / hyaluronoglucosaminidase (EC 3.2.1.35);endo-_-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-_-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-_-1,3-1,4-glucanase (EC 3.2.1.73)"		
		Chitinases	a-fungal	GH16_18	"_-transglycosidase (EC 2.4.1.-);chitin _-1,3/1,6-glucanosyltransferase (EC 2.4.1.-);endo-_-1,3-glucanase / laminarinase (EC 3.2.1.39)"		
		Beta-glucanases	a-fungal	GH16_21	"Endo-_ (1,3)/_ (1,4)-glucanase"		
		Beta-glucanases	a-fungal	GH16_22	No known activity in this subfamily		
		Beta-glucanases	a-fungal	GH16_23	No known activity in this subfamily		
		Beta-glucanases	a-fungal	GH16_3	"endo-_-1,4-galactosidase (EC 3.2.1.-);_-glucosidase (EC 3.2.1.21);endo-_-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-_-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-_-1,3-1,4-glucanase (EC 3.2.1.73)"		
		Beta-glucanases	a-fungal	GH30_3	"_-1,6-glucosidase (EC 3.2.1.-);endo-_-1,6-glucanase (EC 3.2.1.75)"		
		Beta-glucanases	a-fungal	GH5_15	"endo-_-1,6-glucanase (EC 3.2.1.75)"		
		Beta-glucanases	a-fungal	GH5_9	"_-glucosidase (EC 3.2.1.21);exo-_-1,3-glucanase (EC 3.2.1.58);endo-_-1,6-glucanase (EC 3.2.1.75)"		
		Binding beta-glucans	a-fungal	CBM43	"Modules of approx. 90-100 residues found at the C-terminus of GH17 or GH72 enzymatic modules and also sometimes isolated. CBM43 modules sometimes carry a C-terminal membrane anchor. The _-1,3-glucan binding function has been demonstrated with the olive pollen protein Ole e 10."		
		Binding beta-glucans	a-fungal	CBM52	"Modules of approx. 60 residues attached to a few GH81 enzymes but present in other proteins. Binding to _-1,3-glucan demonstrated for Schizosaccharomyces pombe 972h- endo-1,3-_-glucanase Eng1 [Martin-Quadrado et al., Mol. Microbiol. (2008) 69:188-200 PMID:18466295]"		
		Binds chitin	a-fungal	CBM18	"Modules of approx. 40 residues. The chitin-binding function has been demonstrated in many cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats."		
		GXM biosynthesis / Alpha-mannosyltransferase	a-fungal	GT69	"GDP-Man: _-1,3-mannosyltransferase (EC 2.4.1.-)"		
		GXM biosynthesis / O-linked glycosylation	a-fungal	GT90	"UDP-Xyl: (mannosyl) glucuronoxylomannan/galactoxylomannan _-1,2-xylosyltransferase (EC 2.4.2.-); UDP-Glc: protein O-_-glucosyltransferase (EC 2.4.1.-); UDP-Xyl: protein O-_-xylosyltransferase (EC 2.4.2.-)"		
López-Mondéjar	Arabinogalactanases	Arabinogalactanases	b-plant	GH16_10	"endo-_-1,3-galactanase (EC 3.2.1.181)"		
López-Mondéjar	Arabinogalactanases	Arabinogalactanases	b-plant	GH30_5	"endo-_-1,6-galactanase (EC:3.2.1.164)"		
López-Mondéjar	Arabinogalactanases	Arabinogalactanases	b-plant	GH43_24	"exo-_-1,3-galactanase (EC 3.2.1.145)"		
López-Mondéjar	Arabinogalactanases	Arabinogalactanases	b-plant	GH43_37	"endo-_-1,5-L-arabinanase (EC 3.2.1.99)"		
López-Mondéjar	Arabinogalactanases	Arabinogalactanases	b-plant	GH43_4	"endo-_-1,5-L-arabinanase (EC 3.2.1.99)"		
López-Mondéjar	Arabinogalactanases	Arabinogalactanases	b-plant	GH43_5	"endo-_-1,5-L-arabinanase (EC 3.2.1.99)"		
López-Mondéjar	Arabinogalactanases	Arabinogalactanases	b-plant	GH5_16	"endo-_-1,6-galactanase (EC:3.2.1.164)"		
López-Mondéjar	Arabinogalactanases	Arabinogalactanases	b-plant	GH53	"endo-_-1,4-galactanase (EC 3.2.1.89)"		
		Arabinogalactanases	b-plant	GH43_6	"[inverting] endo-_-1,5-L-arabinanase (EC 3.2.1.99)"		
		Arabinogalactanases	b-plant	GH93	"exo-_-L-1,5-arabinanase (EC 3.2.1.-)"		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH1	_-glucosidase (EC 3.2.1.21)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH116	_-glucosidase (EC 3.2.1.21); _-xylosidase (EC 3.2.1.37)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH3	_-glucosidase (EC 3.2.1.21)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH30_2	_-xylosidase (EC 3.2.1.37)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH30_6 	_-glucosidase (EC 3.2.1.21)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH39	_-xylosidase (EC 3.2.1.37)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH43_1	_-xylosidase (EC 3.2.1.37)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH43_11	_-xylosidase (EC 3.2.1.37)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH43_22	_-xylosidase (EC 3.2.1.37)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH43_27	_-xylosidase (EC 3.2.1.37)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH43_35	_-xylosidase (EC 3.2.1.37)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH5_22	"xylan _-1,4-xylosidase (EC 3.2.1.37);endo-_-1,4-glucanase (EC 3.2.1.4)"		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH5_43	_-glucosidase (EC 3.2.1.21)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH5_45	_-glucosidase (EC 3.2.1.21)		
López-Mondéjar	Beta-glucosidases/beta-xylosidases	Beta-glucosidases/Beta-xylosidases	b-plant	GH52	_-xylosidase (EC 3.2.1.37)		
		Beta-glucosidases/Beta-xylosidases	b-plant	GH43_14	"xylan _-1,4-xylosidase (EC 3.2.1.37)"		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH134	"endo-_-1,4-mannanase (EC 3.2.1.78)"		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH164	_-mannosidase (EC 3.2.1.25)		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH26	"endo-_-1,4-mannanase (EC 3.2.1.78)"		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH5_10	"endo-_-1,4-mannanase (EC 3.2.1.78)"		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH5_17	"endo-_-1,4-mannanase (EC 3.2.1.78)"		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH5_18	_-mannosidase (EC 3.2.1.25)		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH5_19	_-mannosidase (EC 3.2.1.25)		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH5_36	"endo-_-1,4-mannanase (EC 3.2.1.78)"		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH5_40	"endo-_-1,4-mannanase (EC 3.2.1.78)"		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH5_41	"endo-_-1,4-mannanase (EC 3.2.1.78)"		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH5_55	"endo-_-1,4-mannanase (EC 3.2.1.78)"		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH5_7	"endo-_-1,4-mannanase (EC 3.2.1.78)"		
López-Mondéjar	Mannanases	Beta-mannanases/Beta-mannosidases	b-plant	GH5_8	"endo-_-1,4-mannanase (EC 3.2.1.78)"		
		Beta-mannanases/Beta-mannosidases	b-plant	GH5_31	"_-1,3-mannanase (EC 3.2.1.-)"		
		"Binding cellulose, xylans, beta-glucans"	b-plant	CBM6	"Modules of approx. 120 residues. The cellulose-binding function has been demonstrated in one case on amorphous cellulose and _-1,4-xylan. Some of these modules also bind _-1,3-glucan, _-1,3-1,4-glucan, and _-1,4-glucan."		
		Binding fructans	b-plant	CBM66	"The CBM66 module, derived from the Bacillus subtilis exo-acting _-fructosidase SacC, targets the terminal fructoside residue of fructans."		
		Binding other hemicelluloses	b-plant	CBM42	Modules of approx. 160 residues found mostly at the C-terminus of GH54 catalytic domains. Binding to arabinofuranose (present in arabinoxylan) has been demonstrated.		
		Binding xylans	b-plant	CBM91	Binding to xylans (birchwood and oat spelt)		
		Binds inulin	b-plant	CBM38	The inulin-binding function has been demonstrated in the case of the cycloinulo-oligosaccharide fructanotransferase from Paenibacillus macerans (Bacillus macerans) by Lee et al. (2004) FEMS Microbiol Lett 234:105-10. (PMID:15109727).		
		Binds mannans and xylan	b-plant	CBM35	"Modules of approx. 130 residues. A module that is conserved in three Cellvibrio xylan-degrading enzymes binds to xylan and the interaction is calcium dependent, while a module from a Cellvibrio mannanase binds to decorated soluble mannans and mannooligosaccharides. A module in a Phanerochaete chrysosporium galactan 1,3-_-galactosidase binds to _-galactan."		
		Binds starch	b-plant	CBM20	The granular starch-binding function has been demonstrated in several cases. Interact strongly with cyclodextrins. Often designated as starch-binding domains (SBD).		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH12	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH124	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH44	"endoglucanase (EC 3.2.1.4); endo-_-1,4-mannanase (EC 3.2.1.78)"		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH45	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH48	reducing end-acting cellobiohydrolase (EC 3.2.1.176); endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH5_1	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH5_2	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH5_25	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH5_26	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH5_37	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH5_38	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH5_39	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH5_4	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH5_46	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH5_5	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH5_52	"exo-_-1,4-glucanase / cellodextrinase (EC 3.2.1.74)"		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH5_53	"exo-_-1,4-glucanase / cellodextrinase (EC 3.2.1.74)"		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH6	cellobiohydrolase (EC 3.2.1.91)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH7	reducing end-acting cellobiohydrolase (EC 3.2.1.176)		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH8	"endoglucanase (EC 3.2.1.4); endo-_-1,4-xylanase (EC 3.2.1.8)"		
López-Mondéjar	Cellulases	Cellulases	b-plant	GH9	endoglucanase (EC 3.2.1.4)		
López-Mondéjar	Chitinases	Chitinases	a-fungal	GH18	chitinase (EC 3.2.1.14)		
López-Mondéjar	Chitinases	Chitinases	a-fungal	GH19	chitinase (EC 3.2.1.14)		
López-Mondéjar	Chitinases	Chitinases	a-fungal	GH20	N-acetyl _-glucosaminidase (EC 3.2.1.52)		
López-Mondéjar	Chitinases	Chitinases	a-fungal	GH46	chitosanase (EC 3.2.1.132)		
López-Mondéjar	Chitinases	Chitinases	a-fungal	GH5_48	N-acetyl _-glucosaminidase (EC 3.2.1.52); chitosanase (EC 3.2.1.132)		
López-Mondéjar	Chitinases	Chitinases	a-fungal	GH75	chitosanase (EC 3.2.1.132)		
		Chitinases	a-fungal	GH16_19	"chitin _-1,3/1,6-glucanosyltransferase (EC 2.4.1.-)"		
		Lignocellulases	b-plant	AA3	"cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10); glucose 1-dehydrogenase (FAD, quinone) (EC 1.1.5.9); pyranose dehydrogenase (EC 1.1.99.29); oligosaccharide dehydrogenase (FAD) (EC 1.1.5.-)"		
		Lignocellulases	b-plant	AA3_1	cellobiose dehydrogenase (EC 1.1.99.18)		
		Lignocellulases	b-plant	AA3_2	"ecdysone oxidase (EC 1.1.3.16);glucose 1-oxidase (EC 1.1.3.4);aryl alcohol oxidase (EC 1.1.3.7);oligosaccharide dehydrogenase (FAD) (EC 1.1.5.-);glucose 1-dehydrogenase (FAD, quinone) (EC 1.1.5.9); pyranose dehydrogenase (EC 1.1.99.29)"		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	CE1	acetyl xylan esterase (EC 3.1.1.72)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	CE12	acetyl xylan esterase (EC 3.1.1.72)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	CE15	acetyl xylan esterase (EC 3.1.1.72)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	CE2	acetyl xylan esterase (EC 3.1.1.72)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	CE3	acetyl xylan esterase (EC 3.1.1.72)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	CE4	acetyl xylan esterase (EC 3.1.1.72)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	CE5	acetyl xylan esterase (EC 3.1.1.72)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	CE6	acetyl xylan esterase (EC 3.1.1.72)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	CE7	acetyl xylan esterase (EC 3.1.1.72)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH110	_-galactosidase (EC 3.2.1.22)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH147	_-galactosidase (EC 3.2.1.23)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH165	_-galactosidase (EC 3.2.1.23)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH2	_-galactosidase (EC 3.2.1.23)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH27	_-galactosidase (EC 3.2.1.22)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH35	_-galactosidase (EC 3.2.1.23)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH36	_-galactosidase (EC 3.2.1.22)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH43_10	_-L-arabinofuranosidase (EC 3.2.1.55)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH43_12	_-L-arabinofuranosidase (EC 3.2.1.55)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH43_17	_-L-arabinofuranosidase (EC 3.2.1.55)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH43_2 	_-L-arabinofuranosidase (EC 3.2.1.55)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH43_26	_-L-arabinofuranosidase (EC 3.2.1.55)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH43_34	_-L-arabinofuranosidase (EC 3.2.1.55)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH43_9	_-L-arabinofuranosidase (EC 3.2.1.55)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH51	_-L-arabinofuranosidase (EC 3.2.1.55)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH54	_-L-arabinofuranosidase (EC 3.2.1.55)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH62	_-L-arabinofuranosidase (EC 3.2.1.55)		
López-Mondéjar	Other hemicellulases	Other hemicellulases	b-plant	GH97	_-galactosidase (EC 3.2.1.22)		
		Other hemicellulases	b-plant	GH43_21	_-L-arabinofuranosidase (EC 3.2.1.55)		
		Other hemicellulases	b-plant	GH43_36	_-L-arabinofuranosidase (EC 3.2.1.55)		
López-Mondéjar	Pectinases	Pectinases	b-plant	CE8	pectin methylesterase (EC 3.1.1.11)		
López-Mondéjar	Pectinases	Pectinases	b-plant	GH105	unsaturated rhamnogalacturonyl hydrolase (EC 3.2.1.172)		
López-Mondéjar	Pectinases	Pectinases	b-plant	GH106	_-L-rhamnosidase (EC 3.2.1.40)		
López-Mondéjar	Pectinases	Pectinases	b-plant	GH127	_-L-arabinofuranosidase (EC 3.2.1.185)		
López-Mondéjar	Pectinases	Pectinases	b-plant	GH137	_-L-arabinofuranosidase (EC 3.2.1.185) 		
López-Mondéjar	Pectinases	Pectinases	b-plant	GH138	"rhamnogalacturonan _-1,2-galacturonohydrolase (EC 3.2.1.173)"		
López-Mondéjar	Pectinases	Pectinases	b-plant	GH139	_-2-O-Me-L-fucosidase (EC 3.2.1.-)		
López-Mondéjar	Pectinases	Pectinases	b-plant	GH140	"_-1,2-apiosidase (EC 3.2.1.-)"		
López-Mondéjar	Pectinases	Pectinases	b-plant	GH142	_-L-arabinofuranosidase (EC 3.2.1.185) 		
López-Mondéjar	Pectinases	Pectinases	b-plant	GH143	2-keto-3-deoxy-D-lyxo-heptulosaric acid hydrolase (EC 3.2.1.-)		
López-Mondéjar	Pectinases	Pectinases	b-plant	GH145	"L-Rh_-_-1,4-GlcA _-L-rhamnohydrolase (EC 3.2.1.-)"		
López-Mondéjar	Pectinases	Pectinases	b-plant	GH146	_-L-arabinofuranosidase (EC 3.2.1.185)		
López-Mondéjar	Pectinases	Pectinases	b-plant	GH151	_-L-fucosidase (EC 3.2.1.51)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL1_1	pectate lyase (EC 4.2.2.2)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL1_2	pectate lyase (EC 4.2.2.2)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL1_3	pectate lyase (EC 4.2.2.2)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL1_5	pectate lyase (EC 4.2.2.2); exo-pectate lyase (EC 4.2.2.9)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL1_6	pectate lyase (EC 4.2.2.2)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL1_7	pectate lyase (EC 4.2.2.2)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL1_8	pectin lyase (EC 4.2.2.10)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL10	pectate lyase (EC 4.2.2.2)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL10_1	pectate lyase (EC 4.2.2.2)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL10_2	pectate lyase (EC 4.2.2.2)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL10_3	pectate lyase (EC 4.2.2.2)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL11	rhamnogalacturonan endolyase (EC 4.2.2.23); rhamnogalacturonan exolyase (EC 4.2.2.24)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL11_1 	rhamnogalacturonan endolyase (EC 4.2.2.23); rhamnogalacturonan exolyase (EC 4.2.2.24)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL11_2	rhamnogalacturonan endolyase (EC 4.2.2.23); rhamnogalacturonan exolyase (EC 4.2.2.24)		
López-Mondéjar	Pectinases	Pectinases	b-plant	PL26	rhamnogalacturonan exolyase (EC 4.2.2.24)		
		Pectinases	b-plant	GH28	"polygalacturonase (EC 3.2.1.15); exo-polygalacturonase (EC 3.2.1.67); exo-polygalacturonosidase (EC 3.2.1.82); rhamnogalacturonase (EC 3.2.1.171); rhamnogalacturonan _-1,2-galacturonohydrolase (EC 3.2.1.173); xylogalacturonan hydrolase (EC 3.2.1.-)"		
		Pectinases	b-plant	GH78	"_-L-rhamnosidase (EC 3.2.1.40); rhamnogalacturonan _-L-rhamnohydrolase (EC 3.2.1.174); L-Rhap-_-1,3-D-Apif -specific _-1,3-L-rhamnosidase (EC 3.2.1.-)"		
		Pectinases	b-plant	PL20	"endo-_-1,4-glucuronan lyase (EC 4.2.2.14)"		
		Pectinases	b-plant	PL3_2	pectate lyase (EC 4.2.2.2)		
		Pectinases	b-plant	PL38	"endo-_-1,4-glucuronan lyase (EC 4.2.2.14)"		
		Pectinases	b-plant	PL4_1	rhamnogalacturonan endolyase (EC 4.2.2.23)		
		Pectinases	b-plant	PL4_3	rhamnogalacturonan endolyase (EC 4.2.2.23)		
López-Mondéjar	Xylanases/xyloglucanases	Xylanases/xyloglucanases	b-plant	GH10	"endo-_-1,4-xylanase (EC 3.2.1.8)"		
López-Mondéjar	Xylanases/xyloglucanases	Xylanases/xyloglucanases	b-plant	GH11	"endo-_-1,4-xylanase (EC 3.2.1.8)"		
López-Mondéjar	Xylanases/xyloglucanases	Xylanases/xyloglucanases	b-plant	GH115	"xylan _-1,2-glucuronidase (EC 3.2.1.131)"		
López-Mondéjar	Xylanases/xyloglucanases	Xylanases/xyloglucanases	b-plant	GH141	"endo-_-1,4-xylanase (EC 3.2.1.8)"		
López-Mondéjar	Xylanases/xyloglucanases	Xylanases/xyloglucanases	b-plant	GH30_7	"endo-_-1,4-xylanase (EC 3.2.1.8)"		
López-Mondéjar	Xylanases/xyloglucanases	Xylanases/xyloglucanases	b-plant	GH30_8	"endo-_-1,4-xylanase (EC 3.2.1.8)"		
López-Mondéjar	Xylanases/xyloglucanases	Xylanases/xyloglucanases	b-plant	GH43_16	"endo-_-1,4-xylanase (EC 3.2.1.8)"		
López-Mondéjar	Xylanases/xyloglucanases	Xylanases/xyloglucanases	b-plant	GH43_29	"endo-_-1,4-xylanase (EC 3.2.1.8)"		
