tip	accession	genus	kingdom	phylum	class	order	family	colours_kingdom	colours_phylum	colours_sordario	colours_hypocr
KAF2648640.1_Lophiostoma_macrostomum_CBS122681	KAF2648640.1	Lophiostoma	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2119327.1_Lophiotrema_nucula	KAF2119327.1	Lophiotrema	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF1950506.1_Byssothecium_circinans	KAF1950506.1	Byssothecium	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2643637.1_Massarina_eburnea_CBS473.64	KAF2643637.1	Massarina	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	#3B3B3BFF	#DEEBF7	NA	NA
OAL02191.1_Stagonospora_sp._SRC1lsM3a	OAL02191.1	Stagonospora	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2799823.1_Melanomma_pulvis_pyrius_CBS109.77	KAF2799823.1	Melanomma	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	#3B3B3BFF	#DEEBF7	NA	NA
CAI6334187.1_Periconia_digitata	CAI6334187.1	Periconia	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	#3B3B3BFF	#DEEBF7	NA	NA
PVI04907.1_Periconia_macrospinosa	PVI04907.1	Periconia	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2832451.1_Ophiobolus_disseminans	KAF2832451.1	Ophiobolus	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAH7082657.1_Paraphoma_chrysanthemicola	KAH7082657.1	Paraphoma	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAH7093641.1_Paraphoma_chrysanthemicola	KAH7093641.1	Paraphoma	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAH4029569.1_Parastagonospora_nodorum	KAH4029569.1	Parastagonospora	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAH7412256.1_Phaeosphaeria_sp._MPI_PUGE_AT_0046c	KAH7412256.1	Phaeosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2027333.1_Setomelanomma_holmii	KAF2027333.1	Setomelanomma	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2704689.1_Pleomassaria_siparia_CBS279.74	KAF2704689.1	Pleomassaria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleomassariaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2732325.1_Polyplosphaeria_fusca	KAF2732325.1	Polyplosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Tetraplosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAH7130368.1_Dendryphion_nanum	KAH7130368.1	Dendryphion	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_033685041.1_Trematosphaeria_pertusa	XP_033685041.1	Trematosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Trematosphaeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_033388470.1_Aaosphaeria_arxii_CBS175.79	XP_033388470.1	Aaosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unknown	#3B3B3BFF	#DEEBF7	NA	NA
KAF2873919.1_Massariosphaeria_phaeospora	KAF2873919.1	Massariosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unknown	#3B3B3BFF	#DEEBF7	NA	NA
OCK96932.1_Cenococcum_geophilum_1.58	OCK96932.1	Cenococcum	Fungi	Ascomycota	Dothideomycetes	unknown	Gloniaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2186206.1_Zopfia_rhizophila_CBS207.26	KAF2186206.1	Zopfia	Fungi	Ascomycota	Dothideomycetes	unknown	Zopfiaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF2436172.1_Tothia_fuscella	KAF2436172.1	Tothia	Fungi	Ascomycota	Dothideomycetes	Venturiales	Cylindrosympodiaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_016242373.1_Cladophialophora_immunda	XP_016242373.1	Cladophialophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_016620042.1_Cladophialophora_bantiana_CBS173.52	XP_016620042.1	Cladophialophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAJ9614367.1_Cladophialophora_chaetospira	KAJ9614367.1	Cladophialophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_008731148.1_Cladophialophora_carrionii_CBS160.54	XP_008731148.1	Cladophialophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAK5050381.1_Exophiala_bonariae	KAK5050381.1	Exophiala	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_013257070.1_Exophiala_aquamarina_CBS119918	XP_013257070.1	Exophiala	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_016630521.1_Fonsecaea_multimorphosa_CBS102226	XP_016630521.1	Fonsecaea	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_018688207.1_Fonsecaea_erecta	XP_018688207.1	Fonsecaea	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_022512448.1_Fonsecaea_monophora	XP_022512448.1	Fonsecaea	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	#3B3B3BFF	#DEEBF7	NA	NA
KIW62805.1_Phialophora_macrospora	KIW62805.1	Phialophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_017994742.1_Phialophora_attinorum	XP_017994742.1	Phialophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_013271081.1_Rhinocladiella_mackenziei_CBS650.93	XP_013271081.1	Rhinocladiella	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAJ9664715.1_Knufia_sp._JES_112	KAJ9664715.1	Knufia	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAK5945816.1_Knufia_obscura	KAK5945816.1	Knufia	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_020055253.1_Aspergillus_aculeatus_ATCC16872	XP_020055253.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
CEN61973.1_Aspergillus_calidoustus	CEN61973.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF4257329.1_Aspergillus_fumigatus	KAF4257329.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_025548269.1_Aspergillus_homomorphus_CBS101889	XP_025548269.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF5864617.1_Aspergillus_burnettii	KAF5864617.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF7592268.1_Aspergillus_hancockii	KAF7592268.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_024682144.1_Aspergillus_novofumigatus_IBT16806	XP_024682144.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAB8070115.1_Aspergillus_leporis	KAB8070115.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_024706806.1_Aspergillus_steynii_IBT23096	XP_024706806.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_045944498.1_Aspergillus_melleus	XP_045944498.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
KEY82804.1_Aspergillus_fumigatus	KEY82804.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAI1834739.1_Penicillium_roqueforti	KAI1834739.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_057129150.1_Penicillium_samsonianum	XP_057129150.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_056545860.1_Penicillium_canariense	XP_056545860.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
OQE15725.1_Penicillium_steckii	OQE15725.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_056937525.1_Penicillium_macrosclerotiorum	XP_056937525.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAK5789619.1_Penicillium_citrinum	KAK5789619.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
CAG8364638.1_Penicillium_salamii	CAG8364638.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAI3149179.1_Penicillium_roqueforti	KAI3149179.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
CAG8934941.1_Penicillium_salamii	CAG8934941.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
CRL20539.1_Penicillium_camemberti	CRL20539.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAJ5585960.1_Penicillium_hetheringtonii	KAJ5585960.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_013332110.1_Rasamsonia_emersonii_CBS393.64	XP_013332110.1	Rasamsonia	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_046077471.1_Talaromyces_proteolyticus	XP_046077471.1	Talaromyces	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_035345895.1_Talaromyces_rugulosus	XP_035345895.1	Talaromyces	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAK2765626.1_Arachnomyces_sp._PD_36	KAK2765626.1	Arachnomyces	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arachnomycetaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAK2768260.1_Arachnomyces_sp._PD_36	KAK2768260.1	Arachnomyces	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arachnomycetaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAK0510950.1_Cladonia_borealis	KAK0510950.1	Cladonia	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	#3B3B3BFF	#DEEBF7	NA	NA
MCJ1445427.1_Stictis_urceolata	MCJ1445427.1	Stictis	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	#3B3B3BFF	#DEEBF7	NA	NA
TAQ89180.1_Chlorociboria_aeruginascens	TAQ89180.1	Chlorociboria	Fungi	Ascomycota	Leotiomycetes	Helotiales	Chlorociboriaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAG0645601.1_Hyphodiscus_hymeniophilus	KAG0645601.1	Hyphodiscus	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyphodiscaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAH6717454.1_Leptodontidium_sp._MPI_SDFR_AT_0119	KAH6717454.1	Leptodontidium	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leptodontidiaceae	#3B3B3BFF	#DEEBF7	NA	NA
KIM95301.1_Oidiodendron_maius_Zn	KIM95301.1	Oidiodendron	Fungi	Ascomycota	Leotiomycetes	unknown	Myxotrichaceae	#3B3B3BFF	#DEEBF7	NA	NA
KIN08100.1_Oidiodendron_maius_Zn	KIN08100.1	Oidiodendron	Fungi	Ascomycota	Leotiomycetes	unknown	Myxotrichaceae	#3B3B3BFF	#DEEBF7	NA	NA
KIM93034.1_Oidiodendron_maius_Zn	KIM93034.1	Oidiodendron	Fungi	Ascomycota	Leotiomycetes	unknown	Myxotrichaceae	#3B3B3BFF	#DEEBF7	NA	NA
KFY94807.1_Pseudogymnoascus_sp.	KFY94807.1	Pseudogymnoascus	Fungi	Ascomycota	Leotiomycetes	unknown	Pseudeurotiaceae	#3B3B3BFF	#DEEBF7	NA	NA
KFZ20368.1_Pseudogymnoascus_sp.	KFZ20368.1	Pseudogymnoascus	Fungi	Ascomycota	Leotiomycetes	unknown	Pseudeurotiaceae	#3B3B3BFF	#DEEBF7	NA	NA
RFU30388.1_Scytalidium_lignicola	RFU30388.1	Scytalidium	Fungi	Ascomycota	Leotiomycetes	unknown	unknown	#3B3B3BFF	#DEEBF7	NA	NA
RFU24608.1_Scytalidium_lignicola	RFU24608.1	Scytalidium	Fungi	Ascomycota	Leotiomycetes	unknown	unknown	#3B3B3BFF	#DEEBF7	NA	NA
RFU34718.1_Scytalidium_lignicola	RFU34718.1	Scytalidium	Fungi	Ascomycota	Leotiomycetes	unknown	unknown	#3B3B3BFF	#DEEBF7	NA	NA
KAH8821320.1_Xylogone_sp._PMI_703	KAH8821320.1	Xylogone	Fungi	Ascomycota	Leotiomycetes	unknown	unknown	#3B3B3BFF	#DEEBF7	NA	NA
KAH8817193.1_Xylogone_sp._PMI_703	KAH8817193.1	Xylogone	Fungi	Ascomycota	Leotiomycetes	unknown	unknown	#3B3B3BFF	#DEEBF7	NA	NA
RPA80138.1_Ascobolus_immersus_RN42	RPA80138.1	Ascobolus	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	#3B3B3BFF	#DEEBF7	NA	NA
RPA78095.1_Ascobolus_immersus_RN42	RPA78095.1	Ascobolus	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	#3B3B3BFF	#DEEBF7	NA	NA
TGZ81715.1_Ascodesmis_nigricans	TGZ81715.1	Ascodesmis	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_045975601.1_Morchella_importuna	XP_045975601.1	Morchella	Fungi	Ascomycota	Pezizomycetes	Pezizales	Morchellaceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_045966199.1_Morchella_importuna	XP_045966199.1	Morchella	Fungi	Ascomycota	Pezizomycetes	Pezizales	Morchellaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF8470832.1_Kalaharituber_pfeilii	KAF8470832.1	Kalaharituber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF8460521.1_Kalaharituber_pfeilii	KAF8460521.1	Kalaharituber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF8476807.1_Kalaharituber_pfeilii	KAF8476807.1	Kalaharituber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF8471114.1_Kalaharituber_pfeilii	KAF8471114.1	Kalaharituber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAI5806802.1_Peziza_echinospora	KAI5806802.1	Peziza	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAI5803377.1_Peziza_echinospora	KAI5803377.1	Peziza	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAI5779968.1_Peziza_echinospora	KAI5779968.1	Peziza	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAI5808220.1_Peziza_echinospora	KAI5808220.1	Peziza	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF8455147.1_Terfezia_claveryi	KAF8455147.1	Terfezia	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
RPB24591.1_Terfezia_boudieri_ATCCMYA_4762	RPB24591.1	Terfezia	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
RPB29031.1_Terfezia_boudieri_ATCCMYA_4762	RPB29031.1	Terfezia	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF8454024.1_Terfezia_claveryi	KAF8454024.1	Terfezia	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF8423366.1_Tirmania_nivea	KAF8423366.1	Tirmania	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF8429570.1_Tirmania_nivea	KAF8429570.1	Tirmania	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAF8426953.1_Tirmania_nivea	KAF8426953.1	Tirmania	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAI5782680.1_Geopyxis_carbonaria	KAI5782680.1	Geopyxis	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	#3B3B3BFF	#DEEBF7	NA	NA
KAI5778531.1_Geopyxis_carbonaria	KAI5778531.1	Geopyxis	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	#3B3B3BFF	#DEEBF7	NA	NA
KAI5797814.1_Geopyxis_carbonaria	KAI5797814.1	Geopyxis	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	#3B3B3BFF	#DEEBF7	NA	NA
KAA8892561.1_Sphaerosporella_brunnea	KAA8892561.1	Sphaerosporella	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_051334511.1_Tricharina_praecox	XP_051334511.1	Tricharina	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	#3B3B3BFF	#DEEBF7	NA	NA
XP_051342713.1_Tricharina_praecox	XP_051342713.1	Tricharina	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	#3B3B3BFF	#DEEBF7	NA	NA
RPA98525.1_Choiromyces_venosus_120613_1	RPA98525.1	Choiromyces	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	#3B3B3BFF	#DEEBF7	NA	NA
RPA95384.1_Choiromyces_venosus_120613_1	RPA95384.1	Choiromyces	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAG0137833.1_Tuber_indicum	KAG0137833.1	Tuber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	#3B3B3BFF	#DEEBF7	NA	NA
KAG0636262.1_Tuber_brumale	KAG0636262.1	Tuber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	#3B3B3BFF	#DEEBF7	NA	NA
PWW74733.1_Tuber_magnatum	PWW74733.1	Tuber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	#3B3B3BFF	#DEEBF7	NA	NA
PUU81429.1_Tuber_borchii	PUU81429.1	Tuber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	#3B3B3BFF	#DEEBF7	NA	NA
CUS15635.1_Tuber_aestivum	CUS15635.1	Tuber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	#3B3B3BFF	#DEEBF7	NA	NA
