tip	accession	genus	kingdom	phylum	class	order	family
XP_033552308.1_Lindgomyces_ingoldianus	XP_033552308.1	Lindgomyces	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae
KAF2648640.1_Lophiostoma_macrostomum_CBS122681	KAF2648640.1	Lophiostoma	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae
KAF2119327.1_Lophiotrema_nucula	KAF2119327.1	Lophiotrema	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae
KAF1950506.1_Byssothecium_circinans	KAF1950506.1	Byssothecium	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae
KAF2643637.1_Massarina_eburnea_CBS473.64	KAF2643637.1	Massarina	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae
OAL02191.1_Stagonospora_sp._SRC1lsM3a	OAL02191.1	Stagonospora	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae
KAF2799823.1_Melanomma_pulvis_pyrius_CBS109.77	KAF2799823.1	Melanomma	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae
CAI6334187.1_Periconia_digitata	CAI6334187.1	Periconia	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae
PVI04907.1_Periconia_macrospinosa	PVI04907.1	Periconia	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae
KAF2832451.1_Ophiobolus_disseminans	KAF2832451.1	Ophiobolus	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae
KAH7082657.1_Paraphoma_chrysanthemicola	KAH7082657.1	Paraphoma	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae
KAH7093641.1_Paraphoma_chrysanthemicola	KAH7093641.1	Paraphoma	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae
KAH4029569.1_Parastagonospora_nodorum	KAH4029569.1	Parastagonospora	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae
KAH7412256.1_Phaeosphaeria_sp._MPI_PUGE_AT_0046c	KAH7412256.1	Phaeosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae
KAF2027333.1_Setomelanomma_holmii	KAF2027333.1	Setomelanomma	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae
KAF2704689.1_Pleomassaria_siparia_CBS279.74	KAF2704689.1	Pleomassaria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleomassariaceae
KAF2732325.1_Polyplosphaeria_fusca	KAF2732325.1	Polyplosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Tetraplosphaeriaceae
KAH7130368.1_Dendryphion_nanum	KAH7130368.1	Dendryphion	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae
XP_033685041.1_Trematosphaeria_pertusa	XP_033685041.1	Trematosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Trematosphaeriaceae
XP_033388470.1_Aaosphaeria_arxii_CBS175.79	XP_033388470.1	Aaosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unknown
KAF2873919.1_Massariosphaeria_phaeospora	KAF2873919.1	Massariosphaeria	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unknown
OCK96932.1_Cenococcum_geophilum_1.58	OCK96932.1	Cenococcum	Fungi	Ascomycota	Dothideomycetes	unknown	Gloniaceae
KAF2186206.1_Zopfia_rhizophila_CBS207.26	KAF2186206.1	Zopfia	Fungi	Ascomycota	Dothideomycetes	unknown	Zopfiaceae
KAF2436172.1_Tothia_fuscella	KAF2436172.1	Tothia	Fungi	Ascomycota	Dothideomycetes	Venturiales	Cylindrosympodiaceae
XP_016242373.1_Cladophialophora_immunda	XP_016242373.1	Cladophialophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
XP_016620042.1_Cladophialophora_bantiana_CBS173.52	XP_016620042.1	Cladophialophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
KAJ9614367.1_Cladophialophora_chaetospira	KAJ9614367.1	Cladophialophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
XP_008731148.1_Cladophialophora_carrionii_CBS160.54	XP_008731148.1	Cladophialophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
KAK5050381.1_Exophiala_bonariae	KAK5050381.1	Exophiala	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
XP_013257070.1_Exophiala_aquamarina_CBS119918	XP_013257070.1	Exophiala	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
XP_016630521.1_Fonsecaea_multimorphosa_CBS102226	XP_016630521.1	Fonsecaea	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
XP_018688207.1_Fonsecaea_erecta	XP_018688207.1	Fonsecaea	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
XP_022512448.1_Fonsecaea_monophora	XP_022512448.1	Fonsecaea	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
KIW62805.1_Phialophora_macrospora	KIW62805.1	Phialophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
XP_017994742.1_Phialophora_attinorum	XP_017994742.1	Phialophora	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
XP_013271081.1_Rhinocladiella_mackenziei_CBS650.93	XP_013271081.1	Rhinocladiella	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
KAJ9664715.1_Knufia_sp._JES_112	KAJ9664715.1	Knufia	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae
KAK5945816.1_Knufia_obscura	KAK5945816.1	Knufia	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae
XP_020055253.1_Aspergillus_aculeatus_ATCC16872	XP_020055253.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
CEN61973.1_Aspergillus_calidoustus	CEN61973.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
KAF4257329.1_Aspergillus_fumigatus	KAF4257329.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
XP_025548269.1_Aspergillus_homomorphus_CBS101889	XP_025548269.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
KAF5864617.1_Aspergillus_burnettii	KAF5864617.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
KAF7592268.1_Aspergillus_hancockii	KAF7592268.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
XP_024682144.1_Aspergillus_novofumigatus_IBT16806	XP_024682144.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
KAB8070115.1_Aspergillus_leporis	KAB8070115.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
XP_024706806.1_Aspergillus_steynii_IBT23096	XP_024706806.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
XP_045944498.1_Aspergillus_melleus	XP_045944498.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
KEY82804.1_Aspergillus_fumigatus	KEY82804.1	Aspergillus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
KAI1834739.1_Penicillium_roqueforti	KAI1834739.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
XP_057129150.1_Penicillium_samsonianum	XP_057129150.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
XP_056545860.1_Penicillium_canariense	XP_056545860.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
OQE15725.1_Penicillium_steckii	OQE15725.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
XP_056937525.1_Penicillium_macrosclerotiorum	XP_056937525.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
KAK5789619.1_Penicillium_citrinum	KAK5789619.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
CAG8364638.1_Penicillium_salamii	CAG8364638.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
KAI3149179.1_Penicillium_roqueforti	KAI3149179.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
CAG8934941.1_Penicillium_salamii	CAG8934941.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
CRL20539.1_Penicillium_camemberti	CRL20539.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
KAJ5585960.1_Penicillium_hetheringtonii	KAJ5585960.1	Penicillium	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae
XP_013332110.1_Rasamsonia_emersonii_CBS393.64	XP_013332110.1	Rasamsonia	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae
XP_046077471.1_Talaromyces_proteolyticus	XP_046077471.1	Talaromyces	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae
XP_035345895.1_Talaromyces_rugulosus	XP_035345895.1	Talaromyces	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae
KAK2765626.1_Arachnomyces_sp._PD_36	KAK2765626.1	Arachnomyces	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arachnomycetaceae
KAK2768260.1_Arachnomyces_sp._PD_36	KAK2768260.1	Arachnomyces	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arachnomycetaceae
KAK0510950.1_Cladonia_borealis	KAK0510950.1	Cladonia	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae
MCJ1445427.1_Stictis_urceolata	MCJ1445427.1	Stictis	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae
TAQ89180.1_Chlorociboria_aeruginascens	TAQ89180.1	Chlorociboria	Fungi	Ascomycota	Leotiomycetes	Helotiales	Chlorociboriaceae
KAG0645601.1_Hyphodiscus_hymeniophilus	KAG0645601.1	Hyphodiscus	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyphodiscaceae
KAH6717454.1_Leptodontidium_sp._MPI_SDFR_AT_0119	KAH6717454.1	Leptodontidium	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leptodontidiaceae
KIM95301.1_Oidiodendron_maius_Zn	KIM95301.1	Oidiodendron	Fungi	Ascomycota	Leotiomycetes	unknown	Myxotrichaceae
KIN08100.1_Oidiodendron_maius_Zn	KIN08100.1	Oidiodendron	Fungi	Ascomycota	Leotiomycetes	unknown	Myxotrichaceae
KIM93034.1_Oidiodendron_maius_Zn	KIM93034.1	Oidiodendron	Fungi	Ascomycota	Leotiomycetes	unknown	Myxotrichaceae
KFY94807.1_Pseudogymnoascus_sp.	KFY94807.1	Pseudogymnoascus	Fungi	Ascomycota	Leotiomycetes	unknown	Pseudeurotiaceae
KFZ20368.1_Pseudogymnoascus_sp.	KFZ20368.1	Pseudogymnoascus	Fungi	Ascomycota	Leotiomycetes	unknown	Pseudeurotiaceae
RFU30388.1_Scytalidium_lignicola	RFU30388.1	Scytalidium	Fungi	Ascomycota	Leotiomycetes	unknown	unknown
RFU24608.1_Scytalidium_lignicola	RFU24608.1	Scytalidium	Fungi	Ascomycota	Leotiomycetes	unknown	unknown
RFU34718.1_Scytalidium_lignicola	RFU34718.1	Scytalidium	Fungi	Ascomycota	Leotiomycetes	unknown	unknown
KAH8821320.1_Xylogone_sp._PMI_703	KAH8821320.1	Xylogone	Fungi	Ascomycota	Leotiomycetes	unknown	unknown
KAH8817193.1_Xylogone_sp._PMI_703	KAH8817193.1	Xylogone	Fungi	Ascomycota	Leotiomycetes	unknown	unknown
RPA80138.1_Ascobolus_immersus_RN42	RPA80138.1	Ascobolus	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae
RPA78095.1_Ascobolus_immersus_RN42	RPA78095.1	Ascobolus	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae
TGZ81715.1_Ascodesmis_nigricans	TGZ81715.1	Ascodesmis	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae
XP_045975601.1_Morchella_importuna	XP_045975601.1	Morchella	Fungi	Ascomycota	Pezizomycetes	Pezizales	Morchellaceae
XP_045966199.1_Morchella_importuna	XP_045966199.1	Morchella	Fungi	Ascomycota	Pezizomycetes	Pezizales	Morchellaceae
KAF8470832.1_Kalaharituber_pfeilii	KAF8470832.1	Kalaharituber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAF8460521.1_Kalaharituber_pfeilii	KAF8460521.1	Kalaharituber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAF8476807.1_Kalaharituber_pfeilii	KAF8476807.1	Kalaharituber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAF8471114.1_Kalaharituber_pfeilii	KAF8471114.1	Kalaharituber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAI5806802.1_Peziza_echinospora	KAI5806802.1	Peziza	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAI5803377.1_Peziza_echinospora	KAI5803377.1	Peziza	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAI5779968.1_Peziza_echinospora	KAI5779968.1	Peziza	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAI5808220.1_Peziza_echinospora	KAI5808220.1	Peziza	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAF8455147.1_Terfezia_claveryi	KAF8455147.1	Terfezia	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
RPB24591.1_Terfezia_boudieri_ATCCMYA_4762	RPB24591.1	Terfezia	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
RPB29031.1_Terfezia_boudieri_ATCCMYA_4762	RPB29031.1	Terfezia	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAF8454024.1_Terfezia_claveryi	KAF8454024.1	Terfezia	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAF8423366.1_Tirmania_nivea	KAF8423366.1	Tirmania	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAF8429570.1_Tirmania_nivea	KAF8429570.1	Tirmania	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAF8426953.1_Tirmania_nivea	KAF8426953.1	Tirmania	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae
KAI5782680.1_Geopyxis_carbonaria	KAI5782680.1	Geopyxis	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae
KAI5778531.1_Geopyxis_carbonaria	KAI5778531.1	Geopyxis	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae
KAI5797814.1_Geopyxis_carbonaria	KAI5797814.1	Geopyxis	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae
KAA8892561.1_Sphaerosporella_brunnea	KAA8892561.1	Sphaerosporella	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae
XP_051334511.1_Tricharina_praecox	XP_051334511.1	Tricharina	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae
XP_051342713.1_Tricharina_praecox	XP_051342713.1	Tricharina	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae
RPA98525.1_Choiromyces_venosus_120613_1	RPA98525.1	Choiromyces	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae
RPA95384.1_Choiromyces_venosus_120613_1	RPA95384.1	Choiromyces	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae
KAG0137833.1_Tuber_indicum	KAG0137833.1	Tuber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae
KAG0636262.1_Tuber_brumale	KAG0636262.1	Tuber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae
PWW74733.1_Tuber_magnatum	PWW74733.1	Tuber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae
PUU81429.1_Tuber_borchii	PUU81429.1	Tuber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae
CUS15635.1_Tuber_aestivum	CUS15635.1	Tuber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae
TMEMel28_009271_T1_12_213_AA14		Tuber	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae
KAH8897803.1_Thozetella_sp._PMI_491	KAH8897803.1	Thozetella	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae
KAB5511574.1_Coniochaeta_sp._2T2.1	KAB5511574.1	Coniochaeta	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae
KAB5571716.1_Coniochaeta_sp._2T2.1	KAB5571716.1	Coniochaeta	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae
KAG7042770.1_Colletotrichum_scovillei	KAG7042770.1	Colletotrichum	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae
XP_036579548.1_Colletotrichum_truncatum	XP_036579548.1	Colletotrichum	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae
KAK1451422.1_Colletotrichum_melonis	KAK1451422.1	Colletotrichum	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae
KAK1457265.1_Colletotrichum_cuscutae	KAK1457265.1	Colletotrichum	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae
KAH6670960.1_Plectosphaerella_plurivora	KAH6670960.1	Plectosphaerella	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae
KAH7361844.1_Plectosphaerella_cucumerina	KAH7361844.1	Plectosphaerella	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae
CAH0017991.1_Clonostachys_rhizophaga	CAH0017991.1	Clonostachys	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae
Crosea671predictedgene_008663_T1_18_292_AA14		Clonostachys	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae
Crosea671predictedgene_010899_T1_23_287_AA14		Clonostachys	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae
XP_014543483.1_Metarhizium_brunneum_ARSEF3297	XP_014543483.1	Metarhizium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae
OAQ97907.1_Akanthomyces_lecanii	OAQ97907.1	Akanthomyces	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae
OAA71978.1_Akanthomyces_lecanii_RCEF1005	OAA71978.1	Akanthomyces	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae
TQV92291.1_Cordyceps_javanica	TQV92291.1	Cordyceps	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae
KAJ3498061.1_Lecanicillium_saksenae	KAJ3498061.1	Lecanicillium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae
KAJ2971520.1_Lecanicillium_fungicola	KAJ2971520.1	Lecanicillium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae
KAJ2978305.1_Lecanicillium_fungicola	KAJ2978305.1	Lecanicillium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae
CEJ80690.1_Torrubiella__hemipterigena	CEJ80690.1	Torrubiella	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae
KAK5998284.1_Cladobotryum_mycophilum	KAK5998284.1	Cladobotryum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
KAK5989550.1_Cladobotryum_mycophilum	KAK5989550.1	Cladobotryum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
CprotrCCMJ2080predictedgene_004813_T1_17_292_AA14		Cladobotryum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
CprotrCCMJ2080predictedgene_007053_T1_13_276_AA14		Cladobotryum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
CprotrCCMJ2080predictedgene_010340_T1_18_284_AA14		Cladobotryum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
HperniHP10predictedgene_009641_T1_18_289_AA14		Hypomyces	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
RFU82186.1_Trichoderma_arundinaceum	RFU82186.1	Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
XP_024748296.1_Trichoderma_citrinoviride	XP_024748296.1	Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
KAH8127734.1_Trichoderma_asperelloides	KAH8127734.1	Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
XP_062756707.1_Trichoderma_aggressivum_f.europaeum	XP_062756707.1	Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
XP_013954691.1_Trichoderma_virens_Gv29_8	XP_013954691.1	Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
TatrovIMI206040predictedgene_004141_T1_25_287_AA14		Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
TatrovIMI206040predictedgene_006201_T1_18_286_AA14		Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
TharziCBS22695predictedgene_003080_T1_24_286_AA14		Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
TharziCBS22695predictedgene_010450_T1_18_285_AA14		Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
TpararCBS125925predictedgene_000587_T1_18_285_AA14		Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
TpararCBS125925predictedgene_002265_T1_25_287_AA14		Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
TreeseQM6apredictedgene_002638_T1_18_285_AA14		Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
TvirenSpredictedgene_003033_T1_25_287_AA14		Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
TvirenSpredictedgene_009646_T1_18_286_AA14		Trichoderma	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae
KAH7131555.1_Dactylonectria_estremocensis	KAH7131555.1	Dactylonectria	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
KAH7146787.1_Dactylonectria_estremocensis	KAH7146787.1	Dactylonectria	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
KAF5712587.1_Fusarium_globosum	KAF5712587.1	Fusarium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
RSL86941.1_Fusarium_floridanum	RSL86941.1	Fusarium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
